column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Region,118,0.0,0.0,7,"{""Asia"": 67, ""Europe"": 23, ""USA"": 20, ""Canada"": 3, ""Africa"": 2}",4.466,4.0,0.0
Country,118,0.0,0.0,36,"{""Japan"": 37, ""India"": 11, ""Italy"": 7, ""Korea"": 6, ""China"": 5}",6.042,5.0,0.0
Location,118,0.0,0.0,117,"{""Tobishima Corp Ltd"": 2, ""CGS Laboratory (in construction)"": 1, ""Commissariat à l'Energie Atomique et aux Energies Alternatives (CEA), VESUVE (2 of 3)"": 1, ""Institute of Earthquake Engineering and Engineering Seismology (IZIIS), University of SS. Cyril and Methodius in Skopje (1 of 2)"": 1, ""European Centre for Training & Research in Earthquake Engineering (EUCENTRE)  - Damper Testing System"": 1}",38.025,32.5,0.0
Size (m),118,0.084746,0.0,51,"{""4 x 4"": 19, ""3 x 3"": 11, ""5 x 5"": 11, ""2 x 2"": 5, ""6 x 6"": 4}",6.611,5.0,0.084746
Payload (metric tonnes),118,0.084746,0.90678,41,"{""20"": 16, ""10"": 13, ""60"": 8, ""5"": 8, ""30"": 7}",2.269,2.0,0.084746
Degrees of Freedom,118,0.067797,0.932203,5,"{""6"": 40, ""1"": 28, ""3"": 21, ""2"": 17, ""5"": 4}",1.0,1.0,0.067797
X Horiz Disp (mm),118,0.186441,0.0,24,"{""±150"": 11, ""±300"": 10, ""±200"": 10, ""±100"": 9, ""±500"": 8}",3.865,4.0,0.177966
Y Horiz Disp (mm),118,0.644068,0.0,17,"{""±200"": 8, ""±100"": 6, ""±250"": 4, ""±150"": 4, ""±125"": 3}",3.929,4.0,0.389831
Z Vert Disp (mm),118,0.627119,0.008475,20,"{""±100"": 15, ""±75"": 4, ""±50"": 4, ""±150"": 3, ""±120"": 2}",3.682,4.0,0.415254
X Horiz Vel (mm/s),118,0.262712,0.008475,35,"{""±1000"": 17, ""±1500"": 8, ""±750"": 7, ""±500"": 6, ""±2000"": 6}",4.54,5.0,0.254237
Y Horiz vel (mm/s),118,0.661017,0.008475,18,"{""±1000"": 9, ""±1100"": 4, ""±500"": 4, ""±2000"": 3, ""±600"": 3}",4.55,5.0,0.432203
Z Vert vel (mm/s),118,0.686441,0.0,19,"{""±500"": 10, ""±1000"": 5, ""±1200"": 2, ""±700"": 2, ""±250"": 2}",4.351,4.0,0.483051
X Horiz accel (m/s2),118,0.220339,0.042373,25,"{""±10"": 26, ""±20"": 23, ""±30"": 9, ""±15"": 5, ""±50"": 4}",2.989,3.0,0.211864
Y Horiz accel (m/s2),118,0.652542,0.008475,18,"{""±20"": 8, ""±10"": 7, ""±30"": 7, ""±15"": 4, ""±40"": 2}",3.098,3.0,0.40678
Z Vert accel (m/s2),118,0.669492,0.016949,22,"{""±10"": 9, ""±20"": 4, ""±40"": 3, ""±8"": 2, ""±15"": 2}",2.949,3.0,0.449153
Max Freq (Hz),118,0.211864,0.779661,12,"{""50"": 44, ""100"": 10, ""30"": 10, ""60"": 7, ""40"": 5}",2.161,2.0,0.211864
Details checked,118,0.601695,0.0,26,"{""12/3/2008"": 5, ""3/3/2008"": 4, ""16/10/2012"": 4, ""27/01/2011"": 3, ""23/7/2008"": 3}",8.915,9.0,0.59322
