column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Round,28,0.0,1.0,14,"{""1"": 2, ""2"": 2, ""3"": 2, ""4"": 2, ""5"": 2}",1.357,1.0,0.0
Round.1,28,0.0,0.0,2,"{""R1"": 14, ""R2"": 14}",2.0,2.0,0.0
Country,28,0.0,0.0,13,"{""Italy"": 4, ""Qatar"": 2, ""Australia"": 2, ""Spain"": 2, ""Netherlands"": 2}",8.357,7.5,0.0
Circuit,28,0.0,0.0,14,"{""Losail"": 2, ""Phillip Island"": 2, ""Valencia"": 2, ""Assen"": 2, ""Monza"": 2}",10.5,10.5,0.0
Date,28,0.0,0.0,14,"{""23 February"": 2, ""2 March"": 2, ""6 April"": 2, ""27 April"": 2, ""11 May"": 2}",8.286,7.5,0.0
Pole Position,28,0.0,0.0,5,"{""Troy Bayliss"": 16, ""Troy Corser"": 4, ""Max Neukirchner"": 4, ""Carlos Checa"": 2, ""Noriyuki Haga"": 2}",12.357,12.0,0.0
Fastest Lap,28,0.0,0.0,11,"{""Troy Bayliss"": 8, ""Noriyuki Haga"": 5, ""Carlos Checa"": 5, ""Troy Corser"": 2, ""Michel Fabrizio"": 2}",12.429,12.0,0.0
Winning Rider,28,0.0,0.0,8,"{""Troy Bayliss"": 11, ""Noriyuki Haga"": 7, ""Ryuichi Kiyonari"": 3, ""Max Neukirchner"": 2, ""Carlos Checa"": 2}",12.821,12.0,0.0
Winning Team,28,0.0,0.0,6,"{""Xerox Ducati"": 11, ""Yamaha Motor Italia"": 7, ""Ten Kate Honda"": 5, ""Alstare Suzuki"": 3, ""Team R.G"": 1}",14.5,14.0,0.0
Report,28,0.0,0.0,1,"{""Report"": 28}",6.0,6.0,0.0
