column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Player,16,0.0,0.0,16,"{""Allan Houston"": 1, ""Latrell Sprewell"": 1, ""Glen Rice"": 1, ""Marcus Camby"": 1, ""Kurt Thomas"": 1}",12.938,12.5,0.0
Games Played,16,0.0,1.0,15,"{""77"": 2, ""78"": 1, ""75"": 1, ""63"": 1, ""65"": 1}",2.0,2.0,0.0
Minutes Played,16,0.0,1.0,16,"{""2858"": 1, ""3017"": 1, ""2212"": 1, ""2127"": 1, ""2125"": 1}",3.438,3.5,0.0
Minutes Played Per Game,16,0.0,1.0,16,"{""36.6"": 1, ""39.2"": 1, ""29.5"": 1, ""33.8"": 1, ""27.6"": 1}",3.75,4.0,0.0
Rebounds,16,0.0,1.0,16,"{""283"": 1, ""347"": 1, ""307"": 1, ""515"": 1, ""723"": 1}",2.562,3.0,0.0
Rebounds Per Game,16,0.0,1.0,13,"{""4.1"": 2, ""2.6"": 2, ""1.9"": 2, ""3.6"": 1, ""4.5"": 1}",3.062,3.0,0.0
Assists,16,0.0,1.0,14,"{""5"": 2, ""7"": 2, ""173"": 1, ""269"": 1, ""89"": 1}",2.062,2.0,0.0
Assists Per Game,16,0.0,1.0,14,"{""0.8"": 2, ""0.1"": 2, ""2.2"": 1, ""3.5"": 1, ""1.2"": 1}",3.0,3.0,0.0
Field Goal %,16,0.0,1.0,15,"{""0.411"": 2, ""0.449"": 1, ""0.43"": 1, ""0.44"": 1, ""0.524"": 1}",4.75,5.0,0.0
Free Throw %,16,0.0,1.0,15,"{""0.667"": 2, ""0.909"": 1, ""0.783"": 1, ""0.852"": 1, ""0.814"": 1}",4.625,5.0,0.0
3-Point %,16,0.1875,0.8125,11,"{""0.313"": 2, ""0.0"": 2, ""0.381"": 1, ""0.304"": 1, ""0.389"": 1}",4.538,5.0,0.0
Points,16,0.0,1.0,16,"{""1459"": 1, ""1364"": 1, ""899"": 1, ""759"": 1, ""800"": 1}",2.812,3.0,0.0
Points Per Game,16,0.0,1.0,15,"{""12.0"": 2, ""18.7"": 1, ""17.7"": 1, ""10.4"": 1, ""9.9"": 1}",3.312,3.0,0.0
