column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Position,10,0.0,1.0,10,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1.1,1.0,0.0
Team,10,0.0,0.0,10,"{""Paulistano"": 1, ""Palestra Itália-SP"": 1, ""Corinthians"": 1, ""Ypiranga-SP"": 1, ""AA São Bento"": 1}",13.4,11.5,0.0
Points,10,0.0,1.0,10,"{""30"": 1, ""29"": 1, ""26"": 1, ""25"": 1, ""16"": 1}",1.8,2.0,0.0
Played,10,0.0,1.0,2,"{""18"": 6, ""15"": 4}",2.0,2.0,0.0
Won,10,0.0,1.0,8,"{""14"": 2, ""3"": 2, ""12"": 1, ""11"": 1, ""7"": 1}",1.4,1.0,0.0
Drawn,10,0.0,1.0,5,"{""2"": 4, ""1"": 2, ""0"": 2, ""3"": 1, ""5"": 1}",1.0,1.0,0.0
Lost,10,0.0,1.0,8,"{""4"": 2, ""9"": 2, ""2"": 1, ""3"": 1, ""11"": 1}",1.3,1.0,0.0
For,10,0.0,1.0,10,"{""62"": 1, ""59"": 1, ""51"": 1, ""56"": 1, ""38"": 1}",2.0,2.0,0.0
Against,10,0.0,1.0,8,"{""44"": 2, ""57"": 2, ""19"": 1, ""21"": 1, ""16"": 1}",2.0,2.0,0.0
Difference,10,0.0,1.0,10,"{""43"": 1, ""38"": 1, ""35"": 1, ""22"": 1, ""-6"": 1}",2.4,2.0,0.0
