column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Year,8,0.0,0.875,6,"{""1992"": 2, ""1993"": 2, ""1988 / 89"": 1, ""1989"": 1, ""1997"": 1}",4.625,4.0,0.0
Single,8,0.0,0.0,8,"{""\\Bring Me Edelweiss\\\""\"""": 1, ""\\I Can't Get No... Edelweiss\\\""\"""": 1, ""\\Raumschiff Edelweiss\\\"" / \\\""Starship Edelweiss\\\""\"""": 1, ""\\Planet Edelweiss\\\""\"""": 1, ""\\Beam Me Up\\\""\"""": 1}",29.5,26.0,0.0
"Peak chart positions
AT",8,0.625,0.375,2,"{""1"": 2, ""14"": 1}",1.333,1.0,0.625
"Peak chart positions
UK",8,0.875,0.125,1,"{""5"": 1}",1.0,1.0,0.875
"Peak chart positions
U.S.
Dance",8,0.875,0.125,1,"{""7"": 1}",1.0,1.0,0.875
"Peak chart positions
U.S.
Rock",8,0.875,0.125,1,"{""24"": 1}",2.0,2.0,0.875
"Peak chart positions
GER",8,0.75,0.25,2,"{""2"": 1, ""7"": 1}",1.0,1.0,0.75
"Peak chart positions
SUI",8,0.75,0.25,2,"{""1"": 1, ""8"": 1}",1.0,1.0,0.75
"Peak chart positions
NED",8,0.75,0.25,2,"{""2"": 1, ""19"": 1}",1.5,1.5,0.75
"Peak chart positions
SWE",8,0.75,0.25,2,"{""1"": 1, ""25"": 1}",1.5,1.5,0.75
Album,8,0.0,0.0,2,"{""Singles only"": 4, ""Wonderful World of Edelweiss"": 4}",20.0,20.0,0.0
