column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Unnamed: 0,30,0.0,1.0,30,"{""1"": 1, ""2"": 1, ""29"": 1, ""28"": 1, ""27"": 1}",1.7,2.0,0.0
District,30,0.0,0.0,30,"{""Angul"": 1, ""Balangir"": 1, ""Subarnapur"": 1, ""Sambalpur"": 1, ""Rayagada"": 1}",8.2,8.0,0.0
Headquarters,30,0.0,0.0,30,"{""Angul"": 1, ""Balangir"": 1, ""Sonepur"": 1, ""Sambalpur"": 1, ""Rayagada"": 1}",8.4,8.0,0.0
"Population
(2011)",30,0.0,0.0,30,"{""1,271,703"": 1, ""1,648,574"": 1, ""652,107"": 1, ""1,044,410"": 1, ""961,959"": 1}",8.333,9.0,0.0
Males,30,0.0,0.0,30,"{""654,898"": 1, ""831,349"": 1, ""332,897"": 1, ""529,424"": 1, ""469,672"": 1}",7.4,7.0,0.0
Females,30,0.0,0.0,30,"{""616,805"": 1, ""817,225"": 1, ""319,210"": 1, ""514,986"": 1, ""492,287"": 1}",7.4,7.0,0.0
"Percentage
Decadal
Growth
2001-2011",30,0.0,1.0,30,"{""11.55"": 1, ""23.29"": 1, ""20.35"": 1, ""12.24"": 1, ""15.74"": 1}",4.867,5.0,0.0
Sex Ratio,30,0.0,0.666667,28,"{""976"": 2, ""981"": 2, ""942"": 1, ""987"": 1, ""959"": 1}",3.667,3.0,0.0
"Density
(Persons
per
km2)",30,0.0,1.0,28,"{""199"": 2, ""106"": 2, ""545"": 1, ""279"": 1, ""158"": 1}",2.967,3.0,0.0
"Child
Population
0–6 years",30,0.0,0.0,30,"{""145,690"": 1, ""206,964"": 1, ""76,536"": 1, ""112,946"": 1, ""141,167"": 1}",6.8,7.0,0.0
"Child
Sex
ratio",30,0.0,1.0,27,"{""931"": 2, ""921"": 2, ""947"": 2, ""884"": 1, ""960"": 1}",3.0,3.0,0.0
Literacy rate,30,0.0,1.0,30,"{""78.96"": 1, ""65.5"": 1, ""74.42"": 1, ""76.91"": 1, ""50.88"": 1}",4.833,5.0,0.0
