column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Transmitter,25,0.0,0.0,25,"{""Allenheads"": 1, ""Humshaugh"": 1, ""Weardale"": 1, ""Wall"": 1, ""Sunderland"": 1}",8.48,8.0,0.0
kW,25,0.0,1.0,19,"{""0.002"": 4, ""0.4"": 3, ""0.01"": 2, ""0.0054"": 1, ""0.2"": 1}",4.76,5.0,0.0
BBCA,25,0.0,1.0,10,"{""44"": 5, ""27"": 4, ""39"": 3, ""52"": 3, ""40"": 2}",2.0,2.0,0.0
BBCB,25,0.0,0.96,12,"{""47"": 4, ""21"": 3, ""45"": 3, ""41"": 3, ""51"": 3}",2.04,2.0,0.0
D3&4,25,0.0,0.96,12,"{""24"": 4, ""42"": 3, ""47"": 3, ""48"": 3, ""44"": 2}",2.04,2.0,0.0
SDN,25,0.96,0.04,1,"{""25.0"": 1}",4.0,4.0,0.0
ARQA,25,0.96,0.0,1,"{""22+"": 1}",3.0,3.0,0.0
ARQB,25,0.96,0.04,1,"{""28.0"": 1}",4.0,4.0,0.0
Pol.,25,0.0,0.0,2,"{""V"": 24, ""H"": 1}",1.0,1.0,0.0
A.G.,25,0.0,0.0,4,"{""B E K"": 12, ""A K"": 8, ""B C/D E"": 3, ""C/D E"": 2}",4.6,5.0,0.0
