column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Year,19,0.0,0.0,17,"{""2006–07"": 2, ""2004–05"": 2, ""1993–94"": 1, ""2002–03"": 1, ""Career"": 1}",7.0,7.0,0.0
Team,19,0.105263,0.0,5,"{""Sacramento"": 7, ""Washington"": 4, ""Philadelphia"": 3, ""Golden State"": 2, ""Detroit"": 1}",10.412,10.0,0.0
GP,19,0.0,1.0,17,"{""75"": 2, ""54"": 2, ""76"": 1, ""46"": 1, ""831"": 1}",1.947,2.0,0.0
GS,19,0.0,1.0,17,"{""42"": 2, ""75"": 2, ""76"": 1, ""23"": 1, ""827"": 1}",1.947,2.0,0.0
MPG,19,0.0,1.0,18,"{""38.4"": 2, ""32.1"": 1, ""36.3"": 1, ""37.1"": 1, ""14.0"": 1}",4.0,4.0,0.0
FG%,19,0.0,1.0,18,"{""0.495"": 2, ""0.552"": 1, ""0.479"": 1, ""0.484"": 1, ""0.489"": 1}",5.0,5.0,0.0
3P%,19,0.0,1.0,17,"{""0.0"": 2, ""0.333"": 2, ""0.238"": 1, ""0.4"": 1, ""0.273"": 1}",4.579,5.0,0.0
FT%,19,0.0,1.0,19,"{""0.532"": 1, ""0.711"": 1, ""0.649"": 1, ""0.417"": 1, ""0.636"": 1}",5.0,5.0,0.0
RPG,19,0.0,1.0,18,"{""10.5"": 2, ""9.1"": 1, ""9.7"": 1, ""9.8"": 1, ""3.6"": 1}",3.316,3.0,0.0
APG,19,0.0,1.0,15,"{""4.6"": 3, ""4.2"": 2, ""3.4"": 2, ""3.6"": 1, ""4.7"": 1}",3.0,3.0,0.0
SPG,19,0.0,1.0,9,"{""1.6"": 3, ""1.4"": 3, ""1.0"": 3, ""1.2"": 2, ""1.5"": 2}",3.0,3.0,0.0
BPG,19,0.052632,0.947368,11,"{""1.7"": 3, "".6"": 2, ""1.4"": 2, "".9"": 2, "".7"": 2}",2.556,3.0,0.052632
PPG,19,0.0,1.0,17,"{""24.5"": 2, ""20.1"": 2, ""17.5"": 1, ""15.6"": 1, ""20.7"": 1}",3.895,4.0,0.0
