column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Title,6,0.0,0.0,6,"{""\\Toxic\\\""\"""": 1, ""\\Darkside\\\""\"""": 1, ""\\Butterfly\\\""\"""": 1, ""\\Revolving Door\\\""\"""": 1, ""\\Drowning\\\""\"""": 1}",13.833,12.5,0.0
Year,6,0.0,1.0,5,"{""2000"": 2, ""1999"": 1, ""2001"": 1, ""2002"": 1, ""2003"": 1}",4.0,4.0,0.0
"Peak chart positions
US",6,0.833333,0.166667,1,"{""1"": 1}",1.0,1.0,0.833333
"Peak chart positions
US
Alt.",6,0.666667,0.333333,2,"{""1"": 1, ""24"": 1}",1.5,1.5,0.666667
"Peak chart positions
US
Main. Rock",6,0.666667,0.333333,2,"{""21"": 1, ""24"": 1}",2.0,2.0,0.666667
"Peak chart positions
AUS",6,0.666667,0.333333,2,"{""4"": 1, ""76"": 1}",1.5,1.5,0.666667
"Peak chart positions
AUT",6,0.5,0.5,3,"{""1"": 1, ""29"": 1, ""45"": 1}",1.667,2.0,0.5
"Peak chart positions
FIN",6,0.666667,0.333333,2,"{""2"": 1, ""19"": 1}",1.5,1.5,0.666667
"Peak chart positions
GER",6,0.5,0.5,3,"{""1"": 1, ""26"": 1, ""45"": 1}",1.667,2.0,0.5
"Peak chart positions
NLD",6,0.666667,0.333333,2,"{""8"": 1, ""71"": 1}",1.5,1.5,0.666667
"Peak chart positions
SWI",6,0.666667,0.333333,2,"{""1"": 1, ""43"": 1}",1.5,1.5,0.666667
"Peak chart positions
UK",6,0.5,0.5,3,"{""3"": 1, ""23"": 1, ""50"": 1}",1.667,2.0,0.5
Album,6,0.0,0.0,2,"{""The Gift of Game"": 4, ""Darkhorse"": 2}",13.667,16.0,0.0
