column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Denomination,7,0.0,0.0,7,"{""Roman Catholic"": 1, ""Calvinist"": 1, ""Lutheran"": 1, ""Jewish"": 1, ""Others"": 1}",9.714,9.0,0.0
1870,7,0.0,0.0,6,"{""0%"": 2, ""72.3%"": 1, ""4.8%"": 1, ""5.3%"": 1, ""16.6%"": 1}",3.429,4.0,0.0
1880,7,0.0,0.0,6,"{""0%"": 2, ""69.4%"": 1, ""6.1%"": 1, ""5.5%"": 1, ""19.7%"": 1}",3.714,4.0,0.0
1890,7,0.0,0.0,6,"{""0%"": 2, ""64.7%"": 1, ""7.4%"": 1, ""5.6%"": 1, ""21%"": 1}",3.429,4.0,0.0
1900,7,0.0,0.0,6,"{""0%"": 2, ""60.7%"": 1, ""8.9%"": 1, ""5.3%"": 1, ""23.6%"": 1}",3.714,4.0,0.0
1910,7,0.0,0.0,6,"{""0%"": 2, ""59.8%"": 1, ""9.9%"": 1, ""4.9%"": 1, ""23.1%"": 1}",3.714,4.0,0.0
1920,7,0.0,0.0,6,"{""0%"": 2, ""59.1%"": 1, ""10.9%"": 1, ""4.8%"": 1, ""23.2%"": 1}",3.571,4.0,0.0
1930,7,0.0,0.0,6,"{""0%"": 2, ""60.7%"": 1, ""12.1%"": 1, ""5%"": 1, ""20.3%"": 1}",3.571,4.0,0.0
1941,7,0.0,0.0,6,"{""0%"": 2, ""63.1%"": 1, ""13.6%"": 1, ""5.3%"": 1, ""15.8%"": 1}",3.857,4.0,0.0
1949,7,0.0,0.0,6,"{""0%"": 2, ""69.8%"": 1, ""15.5%"": 1, ""5.4%"": 1, ""6.4%"": 1}",3.714,4.0,0.0
2001,7,0.0,0.0,7,"{""45.8%"": 1, ""12.6%"": 1, ""2.6%"": 1, ""0.5%"": 1, ""3.9%"": 1}",4.571,5.0,0.0
2011,7,0.0,0.0,7,"{""28.9%"": 1, ""8.5%"": 1, ""1.7%"": 1, ""0.4%"": 1, ""3.5%"": 1}",4.429,4.0,0.0
