column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Lift Name,7,0.0,0.0,7,"{""Bruno"": 1, ""Molly's Express"": 1, ""Pucci"": 1, ""Stormin' Norman"": 1, ""Magic Mile Express"": 1}",15.714,15.0,0.0
Type,7,0.0,0.0,3,"{""detach quad"": 5, ""fixed double"": 1, ""fixed triple"": 1}",11.286,11.0,0.0
"Top
elevation
(ft)",7,0.0,0.0,7,"{""5,885"": 1, ""5,835"": 1, ""5,920"": 1, ""6,245"": 1, ""6,990"": 1}",5.0,5.0,0.0
"Bottom
elevation",7,0.0,0.0,7,"{""5,840"": 1, ""4,990"": 1, ""5,350"": 1, ""5,460"": 1, ""5,915"": 1}",5.0,5.0,0.0
"Vertical
rise",7,0.0,0.571429,7,"{""45"": 1, ""845"": 1, ""570"": 1, ""785"": 1, ""1,075"": 1}",3.714,3.0,0.0
"Length
(ft)",7,0.0,0.142857,7,"{""368"": 1, ""5,244"": 1, ""3,398"": 1, ""4,396"": 1, ""5,359"": 1}",4.714,5.0,0.0
"Slope
(%)",7,0.0,0.0,6,"{""18%"": 2, ""12%"": 1, ""16%"": 1, ""17%"": 1, ""20%"": 1}",3.0,3.0,0.0
"Capacity
(rides/hr)",7,0.0,0.857143,6,"{""1800"": 2, ""630"": 1, ""1200"": 1, ""1,330"": 1, ""1500"": 1}",4.0,4.0,0.0
"Speed
(ft/min)",7,0.0,1.0,4,"{""1000"": 4, ""300"": 1, ""450"": 1, ""950"": 1}",3.571,4.0,0.0
"Lift
Manufacturer",7,0.0,0.0,2,"{""Doppelmayr"": 4, ""Poma"": 3}",7.429,10.0,0.0
"Year
installed",7,0.0,1.0,5,"{""1987"": 2, ""2000"": 2, ""1992"": 1, ""1996"": 1, ""2007"": 1}",4.0,4.0,0.0
