column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Year,25,0.0,0.88,25,"{""1993"": 1, ""2004"": 1, ""2013"": 1, ""2012"": 1, ""2011"": 1}",5.12,4.0,0.0
Location,25,0.04,0.0,5,"{""Orlando"": 20, ""No Event"": 1, ""Nice, France"": 1, ""Al Zollar"": 1, ""Mike Rhodin"": 1}",7.5,7.0,0.0
Attendance,25,0.56,0.32,9,"{""10000"": 2, ""6000"": 2, ""2300"": 1, ""Ben Stein"": 1, ""5273"": 1}",7.727,4.0,0.0
Theme phrase,25,0.08,0.0,23,"{""Working Together"": 1, ""Envision Decisions"": 1, ""Get social. Do business."": 1, ""Business. Made Social."": 1, ""Get Social. Do Business."": 1}",20.913,21.0,0.0
Top messages,25,0.44,0.0,14,"{""Notes R4\nWork the Web"": 1, ""Don't compete with, embrace the Web.\niNotes Web Publisher\nDomino"": 1, ""Notes R5"": 1, ""Notes R5\nKnowledge Management"": 1, ""Raven\nDomino Access for Microsoft Outlook"": 1}",42.857,35.5,0.0
Host,25,0.24,0.0,15,"{""Alistair Rennie"": 3, ""Ambuj Goyal"": 2, ""Mike Rhodin"": 2, ""Don Bulens"": 1, ""Ray Ozzie"": 1}",15.211,12.0,0.0
Opening General Session guest(s),25,0.24,0.0,19,"{""Geoffrey Moore"": 1, ""Jason Alexander"": 1, ""Joe Gordon-Levitt\nThey Might Be Giants"": 1, ""Michael J. Fox\nOK Go"": 1, ""Kevin Spacey\nMass Ensemble"": 1}",24.421,24.0,0.0
Closing General Session guest(s),25,0.36,0.0,16,"{""Cirque du Soleil"": 1, ""Bill Nye"": 1, ""Marc Salem"": 1, ""The Raspyni Brothers"": 1, ""Umbilical Brothers"": 1}",15.125,14.5,0.0
Sunday night reception,25,0.92,0.0,2,"{""Country/Western"": 1, ""Poker tables"": 1}",13.5,13.5,0.0
Wednesday night party,25,0.24,0.0,15,"{""Disney-MGM"": 2, ""Universal Studios Florida"": 2, ""SeaWorld"": 2, ""Hollywood Studios"": 2, ""Universal Studios Florida\nThe Neville Brothers"": 1}",26.0,25.0,0.0
CULT shirt,25,0.6,0.0,8,"{""No CULT Shirt"": 3, ""Notes World Order"": 1, ""Domino Survivor"": 1, ""Just-Us League & Collaboration League"": 1, ""CULT SHIRT ON HUMAN"": 1}",17.1,14.5,0.0
