column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Name,258,0.0,0.0,258,"{""Abbeydale"": 1, ""Saddle Ridge"": 1, ""Ranchlands"": 1, ""Red Carpet"": 1, ""Redstone"": 1}",11.988,11.0,0.0
Quadrant,258,0.015504,0.0,12,"{""SW"": 71, ""SE"": 59, ""NW"": 52, ""NE"": 44, ""SW/SE"": 9}",2.394,2.0,0.0
Sector,258,0.015504,0.0,13,"{""Centre"": 58, ""South"": 44, ""Northeast"": 39, ""West"": 28, ""Northwest"": 23}",6.504,6.0,0.0
Ward,258,0.0,0.968992,22,"{""9"": 31, ""11"": 27, ""7"": 24, ""3"": 21, ""8"": 19}",1.481,1.0,0.0
Type,258,0.0,0.0,5,"{""Residential"": 197, ""Industrial"": 42, ""Residual Area"": 14, ""Major Park"": 4, ""Total City of Calgary"": 1}",10.969,11.0,0.0
"2012
Population
Rank",258,0.007752,0.988372,256,"{""82"": 1, ""27"": 1, ""167"": 1, ""225"": 1, ""85"": 1}",2.648,3.0,0.0
"Population
(2012)",258,0.007752,0.313953,210,"{""0"": 45, ""415"": 2, ""35"": 2, ""5,917"": 1, ""834"": 1}",4.105,5.0,0.0
"Population
(2011)",258,0.007752,0.317829,212,"{""0"": 42, ""40"": 2, ""11"": 2, ""60"": 2, ""36"": 1}",4.109,5.0,0.0
% change,258,0.170543,0.604651,118,"{""0.2"": 7, ""0.3"": 6, ""1.5"": 5, ""−0.7"": 5, ""0.8"": 5}",3.224,3.0,0.162791
"Dwellings
(2012)",258,0.007752,0.426357,209,"{""0"": 26, ""3"": 6, ""2"": 6, ""1"": 5, ""4"": 2}",3.719,5.0,0.0
"Area
(km2)",258,0.062016,0.937984,67,"{""0.5"": 12, ""1.2"": 10, ""2.7"": 9, ""1.3"": 9, ""0.3"": 8}",3.029,3.0,0.0
"Population
density",258,0.062016,0.228682,198,"{""0"": 43, ""2,120"": 2, ""2,970"": 2, ""3,480.6"": 1, ""2,165.2"": 1}",5.393,7.0,0.054264
