column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Region/Country,94,0.0,0.0,94,"{""Africa"": 1, ""Austria"": 1, ""Italy"": 1, ""Ireland"": 1, ""Hungary"": 1}",12.011,8.0,0.0
"1882–
1918",94,0.93617,0.0,6,"{""1,760"": 1, ""5,000"": 1, ""10,000"": 1, ""1,000"": 1, ""70,000"": 1}",5.5,5.5,0.0
"1919–
1948",94,0.56383,0.074468,41,"{""11,180"": 1, ""13,135"": 1, ""18,400"": 1, ""521"": 1, ""10,000"": 1}",5.171,5.0,0.0
"1948–
1951",94,0.095745,0.521277,67,"{""0"": 16, ""48"": 2, ""17"": 2, ""14"": 2, ""330,282"": 1}",3.494,3.0,0.0
"1952–
1960",94,0.085106,0.617021,65,"{""0"": 18, ""46"": 3, ""22"": 2, ""9"": 2, ""320"": 1}",3.105,3.0,0.0
"1961–
1971",94,0.085106,0.521277,74,"{""0"": 8, ""1,021"": 2, ""886"": 2, ""4"": 2, ""145"": 2}",3.686,3.0,0.0
"1972–
1979",94,0.074468,0.606383,79,"{""0"": 7, ""43"": 2, ""21"": 2, ""20,109"": 1, ""190,336"": 1}",3.425,3.0,0.0
"1980–
1989",94,0.0,0.595745,83,"{""0"": 8, ""180"": 2, ""8"": 2, ""57"": 2, ""12"": 2}",3.585,3.0,0.0
"1990–
2001",94,0.0,0.5,91,"{""205"": 2, ""0"": 2, ""683"": 2, ""3,999"": 1, ""997"": 1}",4.128,4.0,0.0
"2002–
2010",94,0.021277,0.659574,83,"{""0"": 5, ""42"": 2, ""85"": 2, ""84"": 2, ""365"": 2}",3.413,3.0,0.0
"2011–
2013",94,0.06383,0.808511,72,"{""0"": 5, ""5"": 4, ""19"": 2, ""37"": 2, ""2"": 2}",2.636,2.5,0.0
Total,94,0.0,0.212766,94,"{""560,195"": 1, ""24,137"": 1, ""6,712"": 1, ""790"": 1, ""57,721"": 1}",5.277,6.0,0.0
