column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Place,10,0.0,1.0,10,"{""1.0"": 1, ""2.0"": 1, ""3.0"": 1, ""4.0"": 1, ""5.0"": 1}",3.1,3.0,0.0
Team,10,0.0,0.0,10,"{""C.D. Águila"": 1, ""C.D. FAS"": 1, ""C.D. Vista Hermosa"": 1, ""A.D. Isidro Metapán"": 1, ""Alianza F.C."": 1}",15.7,17.0,0.0
Played,10,0.0,1.0,1,"{""18"": 10}",2.0,2.0,0.0
Won,10,0.0,1.0,5,"{""6"": 3, ""5"": 3, ""7"": 2, ""9"": 1, ""8"": 1}",1.0,1.0,0.0
Draw,10,0.0,1.0,6,"{""5"": 5, ""8"": 1, ""2"": 1, ""4"": 1, ""7"": 1}",1.0,1.0,0.0
Lost,10,0.0,1.0,4,"{""7"": 4, ""4"": 2, ""8"": 2, ""6"": 2}",1.0,1.0,0.0
"Goals
Scored",10,0.0,1.0,8,"{""24"": 2, ""26"": 2, ""27"": 1, ""21"": 1, ""29"": 1}",2.0,2.0,0.0
"Goals
Conceded",10,0.0,1.0,8,"{""22"": 2, ""26"": 2, ""19"": 1, ""17"": 1, ""25"": 1}",2.0,2.0,0.0
+/-,10,0.0,1.0,9,"{""5"": 2, ""9"": 1, ""-1"": 1, ""3"": 1, ""1"": 1}",1.5,1.5,0.0
Points,10,0.0,1.0,7,"{""26"": 3, ""23"": 2, ""32"": 1, ""25"": 1, ""22"": 1}",2.0,2.0,0.0
