column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
name,44,0.0,0.0,44,"{""Re 465"": 1, ""Re 6/6"": 1, ""EMD SD90MAC"": 1, ""GE AC6000CW"": 1, ""Indian locomotive class WAG-9"": 1}",13.227,10.0,0.0
railway,44,0.022727,0.0,21,"{""China Railways"": 11, ""Union Pacific"": 6, ""BLS, Switzerland"": 4, ""SBB, Switzerland"": 3, ""Indian Railways"": 2}",19.977,15.0,0.0
series,44,0.136364,0.136364,38,"{""Re 465 001-465 0018"": 1, ""HXD2B0001-HXD2B0500"": 1, ""600-699, 5000-5016, 6070-6077, 7500-7579 (being overhauled and renumbered 69xx)"": 1, ""HXN30001-HXN30300"": 1, ""HXN50001-HXN50300"": 1}",15.421,12.5,0.0
maker,44,0.022727,0.0,32,"{""CSR Zhuzhou Electric Locomotive, Siemens"": 3, ""Datong Electric Locomotive, Alstom"": 3, ""Softronic Craiova"": 2, ""Dalian, Bombardier"": 2, ""General Electric"": 2}",20.86,21.0,0.0
dates,44,0.0,0.159091,37,"{""2009–"": 4, ""2006–08"": 2, ""1939"": 2, ""2010–"": 2, ""2008–"": 2}",6.773,7.0,0.0
drive,44,0.0,0.0,11,"{""Electric"": 21, ""electric"": 7, ""Steam"": 4, ""Diesel-Electric"": 4, ""Steam Turbine Electric"": 2}",11.273,8.0,0.0
wheel arrangement,44,0.0,0.0,25,"{""Co'Co'"": 17, ""Bo'Bo'+Bo'Bo'"": 2, ""Bo'Bo'Bo'"": 2, ""Bo-Bo-Bo"": 2, ""Bo-Bo"": 1}",8.886,6.5,0.0
weight,44,0.022727,0.0,26,"{""150 t"": 9, ""120 t"": 8, ""200 t"": 2, ""210 t"": 2, ""84 t"": 1}",5.186,5.0,0.0
power,44,0.0,0.0,35,"{""9,655 horsepower (7,200 kW)"": 5, ""12,874 horsepower (9,600 kW)"": 4, ""6,250 horsepower (4,661 kW)"": 2, ""6,300 horsepower (4,698 kW)"": 2, ""7,000 horsepower (5,220 kW) (2000hp Diesel + 5000hp turbine)"": 1}",39.295,27.5,0.0
notes,44,0.204545,0.0,32,"{""Most powerful single-frame locomotive in series production"": 3, ""Most powerful diesel-electric locomotive in active production."": 2, ""most powerful locomotive with only four axles, similar locomotives with slightly different technical data are in operation with SBB (Re 460; 119 pc/ NSB (El 18; 22 pc)/ VR (Sr2; 46 pc)/ KCRC (Hong Kong; 2 pc)"": 1, ""in operation (October 2012), revised classification Re 620, most powerful single-frame locomotive till China Railways HXD1B appeared"": 1, ""Home-built experimental coal-fired gas turbine. Assembled from ALCO PA-1 UP #607, GN W1 #5018, and the tender from Challenger #3990. 215 feet (66 m) overall length; 1,457,280 pounds (661,011 kg) total weight. Unsuccessful; set aside in 1964 and scrapped in 1968."": 1}",75.371,64.0,0.0
