column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Rank,11,0.454545,0.545455,6,"{""4.0"": 1, ""5.0"": 1, ""6.0"": 1, ""7.0"": 1, ""8.0"": 1}",3.0,3.0,0.0
Bib,11,0.0,1.0,11,"{""10"": 1, ""12"": 1, ""11"": 1, ""15"": 1, ""13"": 1}",1.818,2.0,0.0
Name,11,0.0,0.0,11,"{""Andrea Rothfuss"": 1, ""Petra Smarzova"": 1, ""Karolina Wisniewska"": 1, ""Melania Corradini"": 1, ""Solène Jambaqué"": 1}",15.727,15.0,0.0
Country,11,0.0,0.0,10,"{""Russia"": 2, ""Germany"": 1, ""Slovakia"": 1, ""Canada"": 1, ""Italy"": 1}",6.727,6.0,0.0
Run 1,11,0.0,0.636364,11,"{""49.38"": 1, ""52.50"": 1, ""52.17"": 1, ""54.72"": 1, ""53.95"": 1}",5.0,5.0,0.0
Rank.1,11,0.181818,0.818182,9,"{""1.0"": 1, ""3.0"": 1, ""2.0"": 1, ""5.0"": 1, ""4.0"": 1}",3.0,3.0,0.0
Run 2,11,0.181818,0.727273,9,"{""50.60"": 1, ""51.22"": 1, ""53.36"": 1, ""52.95"": 1, ""54.68"": 1}",5.222,5.0,0.0
Rank.2,11,0.181818,0.818182,9,"{""1.0"": 1, ""2.0"": 1, ""4.0"": 1, ""3.0"": 1, ""5.0"": 1}",3.0,3.0,0.0
Total,11,0.181818,0.0,9,"{""1:39.98"": 1, ""1:43.72"": 1, ""1:45.53"": 1, ""1:47.67"": 1, ""1:48.63"": 1}",7.0,7.0,0.0
Difference,11,0.272727,0.727273,8,"{""3.74"": 1, ""5.55"": 1, ""7.69"": 1, ""8.65"": 1, ""11.33"": 1}",4.5,4.5,0.0
