column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Res.,8,0.0,0.0,2,"{""Win"": 5, ""Loss"": 3}",3.375,3.0,0.0
Record,8,0.0,0.0,8,"{""5–3"": 1, ""5–2"": 1, ""5–1"": 1, ""4–1"": 1, ""3–1"": 1}",3.0,3.0,0.0
Opponent,8,0.0,0.0,7,"{""Frank Mir"": 2, ""Alistair Overeem"": 1, ""Cain Velasquez"": 1, ""Shane Carwin"": 1, ""Randy Couture"": 1}",12.125,12.5,0.0
Method,8,0.0,0.0,6,"{""TKO (punches)"": 3, ""TKO (kick to the body & punches)"": 1, ""Submission (arm triangle choke)"": 1, ""Decision (unanimous)"": 1, ""Submission (kneebar)"": 1}",20.25,20.0,0.0
Event,8,0.0,0.0,8,"{""UFC 141"": 1, ""UFC 121"": 1, ""UFC 116"": 1, ""UFC 100"": 1, ""UFC 91"": 1}",7.5,7.0,0.0
Date,8,0.0,0.0,8,"{""December 30, 2011"": 1, ""October 23, 2010"": 1, ""July 3, 2010"": 1, ""July 11, 2009"": 1, ""November 15, 2008"": 1}",14.625,15.0,0.0
Round,8,0.0,1.0,3,"{""1"": 4, ""2"": 3, ""3"": 1}",1.0,1.0,0.0
Time,8,0.0,0.0,8,"{""2:26"": 1, ""4:12"": 1, ""2:19"": 1, ""1:48"": 1, ""3:07"": 1}",4.0,4.0,0.0
Location,8,0.0,0.0,4,"{""Las Vegas, United States"": 5, ""Anaheim, California, United States"": 1, ""Minneapolis, Minnesota, United States"": 1, ""Los Angeles, United States"": 1}",27.125,24.0,0.0
Notes,8,0.125,0.0,7,"{""Announced retirement after fight"": 1, ""Lost UFC Heavyweight Championship"": 1, ""Defended UFC Heavyweight Championship. Unified UFC Interim Heavyweight Championship; Submission of the Night"": 1, ""Defended UFC Heavyweight Championship. Unified UFC Interim Heavyweight Championship"": 1, ""Won UFC Heavyweight Championship."": 1}",43.857,33.0,0.0
