column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Year,7,0.0,0.857143,7,"{""2008"": 1, ""2009"": 1, ""2010"": 1, ""2011"": 1, ""2012"": 1}",4.143,4.0,0.0
Team,7,0.0,0.0,3,"{""DEN"": 4, ""SD"": 2, ""Total"": 1}",3.0,3.0,0.0
Games,7,0.0,1.0,6,"{""15"": 2, ""14"": 1, ""16"": 1, ""12"": 1, ""10"": 1}",2.0,2.0,0.0
Punt Return Attempts,7,0.0,1.0,6,"{""12"": 2, ""14"": 1, ""30"": 1, ""25"": 1, ""7"": 1}",2.0,2.0,0.0
Punt Return Yards,7,0.0,0.857143,7,"{""140"": 1, ""335"": 1, ""298"": 1, ""194"": 1, ""64"": 1}",3.0,3.0,0.0
Punts Returned for Touchdown,7,0.0,1.0,3,"{""0"": 4, ""1"": 2, ""2"": 1}",1.0,1.0,0.0
Punts Fair Caught,7,0.0,1.0,7,"{""10"": 1, ""13"": 1, ""12"": 1, ""9"": 1, ""2"": 1}",1.571,2.0,0.0
Longest Punt Return,7,0.0,1.0,6,"{""85"": 2, ""36"": 1, ""71"": 1, ""33"": 1, ""14"": 1}",2.0,2.0,0.0
Kickoff Attempts,7,0.0,1.0,6,"{""0"": 2, ""23"": 1, ""26"": 1, ""5"": 1, ""3"": 1}",1.429,1.0,0.0
Kickoff Return Yards,7,0.0,1.0,6,"{""0"": 2, ""600"": 1, ""621"": 1, ""107"": 1, ""47"": 1}",2.429,3.0,0.0
Kickoffs Returned for Touchdown,7,0.0,1.0,2,"{""0"": 5, ""1"": 2}",1.0,1.0,0.0
Kickoffs Fair Caught,7,0.0,1.0,1,"{""0"": 7}",1.0,1.0,0.0
Longest Kickoff Return,7,0.0,1.0,5,"{""95"": 2, ""0"": 2, ""93"": 1, ""33"": 1, ""20"": 1}",1.714,2.0,0.0
