column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Team,37,0.0,0.0,37,"{""Montreal Canadiens"": 1, ""Phoenix Coyotes\n(Winnipeg Jets (1979–1996))"": 1, ""San Jose Sharks"": 1, ""Ottawa Senators"": 1, ""Anaheim Ducks"": 1}",33.703,19.0,0.0
Seasons,37,0.0,1.0,18,"{""44"": 5, ""32"": 4, ""85"": 3, ""11"": 3, ""94"": 2}",1.919,2.0,0.0
Games,37,0.0,0.27027,21,"{""3,506"": 5, ""2,568"": 4, ""5,894"": 3, ""6,120"": 2, ""902"": 2}",4.405,5.0,0.0
Wins,37,0.0,0.432432,37,"{""3,135"": 1, ""1,063"": 1, ""721"": 1, ""679"": 1, ""638"": 1}",4.027,5.0,0.0
Ties,37,0.0,1.0,37,"{""837"": 1, ""266"": 1, ""121"": 1, ""115"": 1, ""107"": 1}",2.703,3.0,0.0
Losses,37,0.0,0.459459,37,"{""2,148"": 1, ""1,239"": 1, ""766"": 1, ""734"": 1, ""699"": 1}",4.027,5.0,0.0
"Goals
For",37,0.0,0.108108,37,"{""19,929"": 1, ""8,058"": 1, ""4,553"": 1, ""4,401"": 1, ""3,863"": 1}",5.189,5.0,0.0
"Goals
Against",37,0.0,0.108108,37,"{""16,416"": 1, ""8,809"": 1, ""4,744"": 1, ""4,506"": 1, ""4,021"": 1}",5.135,5.0,0.0
"Goal
Diff",37,0.0,0.918919,37,"{""3,513"": 1, ""-756"": 1, ""-191"": 1, ""-105"": 1, ""-158"": 1}",3.649,4.0,0.0
Points,37,0.0,0.27027,37,"{""7,203"": 1, ""2,473"": 1, ""1,657"": 1, ""1,556"": 1, ""1,477"": 1}",4.405,5.0,0.0
