column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Year,23,0.0,0.956522,23,"{""1991"": 1, ""2004"": 1, ""2013"": 1, ""2012"": 1, ""2011"": 1}",4.739,4.0,0.0
Game of the Year,23,0.0,0.0,23,"{""Trumpet"": 1, ""New England"": 1, ""Trajan"": 1, ""Tikal II: The Lost Temple"": 1, ""Jump Gate"": 1}",10.826,8.0,0.0
Abstract strategy,23,0.0,0.0,23,"{""Master Labyrinth"": 1, ""Clans"": 1, ""Matter"": 1, ""Confusion: Espionage and Deception in the Cold War"": 1, ""Arimaa"": 1}",9.783,6.0,0.0
Advanced strategy,23,0.130435,0.0,20,"{""Wargames: V for Victory"": 1, ""Conflict: Colonial Diplomacy"": 1, ""Village"": 1, ""Die Burgen von Burgund (The Castles of Burgundy)"": 1, ""Egizia"": 1}",20.05,15.5,0.130435
Family,23,0.0,0.0,23,"{""Stack"": 1, ""I'm the Boss!"": 1, ""Takenoko"": 1, ""Lemming Mafia"": 1, ""Burger Joint"": 1}",14.13,12.0,0.0
Family card,23,0.0,0.0,23,"{""Arcade: Wing Commander"": 1, ""Queen's Necklace"": 1, ""Decktet/Decktet Book"": 1, ""Hey Waiter!"": 1, ""Jaipur"": 1}",17.87,16.0,0.0
Family strategy,23,0.0,0.0,23,"{""Real-Life Strategy: Sherlock Holmes Consulting Detective"": 1, ""Zoosim"": 1, ""Zong Shi"": 1, ""Glen More"": 1, ""Valdora"": 1}",17.043,10.0,0.0
Party,23,0.0,0.0,23,"{""Tabloid Teasers"": 1, ""Party/Trivia: Dibs"": 1, ""Pluckin' Pairs"": 1, ""Funfair"": 1, ""Telestrations"": 1}",13.304,12.0,0.0
Puzzle,23,0.043478,0.0,22,"{""3 In Three"": 1, ""Heaven & Earth"": 1, ""Cool Circuits"": 1, ""IQ Twist"": 1, ""Anti-Virus"": 1}",12.864,12.5,0.043478
Word,23,0.304348,0.0,16,"{""Swoggle"": 1, ""Wordsters"": 1, ""Pick Two!"": 1, ""Boggle Master"": 1, ""Pre.fix"": 1}",10.625,9.0,0.304348
Historical simulation,23,0.217391,0.0,18,"{""War/Adventure: HeroQuest"": 1, ""Adventure: The Lost Files of Sherlock Holmes"": 1, ""Battles of Napoleon: The Eagle and the Lion"": 1, ""Fields of Fire"": 1, ""Pacific Typhoon"": 1}",23.389,17.0,0.217391
Other,23,0.391304,0.0,14,"{""Trivia: Play It By Ear"": 1, ""Trivia: Times To Remember"": 1, ""Trivia: Celebrity Challenge"": 1, ""Trivia: Quote Unquote"": 1, ""Trivia: Chronicles\nCCG: On the Edge CCG: Standard Starter Deck"": 1}",34.857,28.0,0.391304
