column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Nation,16,0.0,0.0,16,"{""Argentina"": 1, ""Brazil"": 1, ""Canada"": 1, ""Chile"": 1, ""Colombia"": 1}",8.625,8.5,0.0
1986,16,0.75,0.0,4,"{""4th"": 1, ""3rd"": 1, ""2nd"": 1, ""1st"": 1}",3.0,3.0,0.75
1989,16,0.75,0.0,4,"{""3rd"": 1, ""1st"": 1, ""4th"": 1, ""2nd"": 1}",3.0,3.0,0.75
1991,16,0.5625,0.0,7,"{""4th"": 1, ""3rd"": 1, ""2nd"": 1, ""6th"": 1, ""7th"": 1}",3.0,3.0,0.5625
1997,16,0.625,0.0,6,"{""4th"": 1, ""1st"": 1, ""2nd"": 1, ""5th"": 1, ""6th"": 1}",3.0,3.0,0.625
1999,16,0.625,0.0,6,"{""3rd"": 1, ""1st"": 1, ""6th"": 1, ""2nd"": 1, ""5th"": 1}",3.0,3.0,0.625
2000,16,0.625,0.0,6,"{""4th"": 1, ""1st"": 1, ""6th"": 1, ""3rd"": 1, ""5th"": 1}",3.0,3.0,0.625
2003,16,0.5625,0.0,7,"{""2nd"": 1, ""1st"": 1, ""5th"": 1, ""6th"": 1, ""7th"": 1}",3.0,3.0,0.5625
2005,16,0.625,0.0,6,"{""2nd"": 1, ""1st"": 1, ""4th"": 1, ""5th"": 1, ""3rd"": 1}",3.0,3.0,0.625
2007,16,0.5,0.0,8,"{""2nd"": 1, ""1st"": 1, ""6th"": 1, ""3rd"": 1, ""8th"": 1}",3.0,3.0,0.5
2009,16,0.5625,0.0,7,"{""1st"": 1, ""2nd"": 1, ""3rd"": 1, ""4th"": 1, ""5th"": 1}",3.0,3.0,0.5625
2011,16,0.5,0.0,8,"{""2nd"": 1, ""1st"": 1, ""5th"": 1, ""3rd"": 1, ""6th"": 1}",3.0,3.0,0.5
Years,16,0.0,1.0,9,"{""2"": 4, ""1"": 4, ""6"": 2, ""10"": 1, ""11"": 1}",1.125,1.0,0.0
