column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Formula,15,0.0,0.0,14,"{""Pa2O5"": 2, ""Pa"": 1, ""PaO"": 1, ""PaO2"": 1, ""PaH3"": 1}",5.133,5.0,0.0
color,15,0.266667,0.0,9,"{""black"": 2, ""white"": 2, ""silvery-gray"": 1, ""brown-red"": 1, ""green-yellow"": 1}",7.273,5.0,0.0
symmetry,15,0.133333,0.0,6,"{""monoclinic"": 5, ""tetragonal"": 3, ""cubic"": 2, ""rocksalt"": 1, ""fcc"": 1}",8.692,10.0,0.0
space group,15,0.133333,0.0,9,"{""Fm3m"": 3, ""C2/c"": 2, ""I41/amd"": 2, ""I4/mmm"": 1, ""orthorhombic"": 1}",5.077,4.0,0.0
No,15,0.333333,0.666667,6,"{""225.0"": 3, ""15.0"": 2, ""141.0"": 2, ""139.0"": 1, ""223.0"": 1}",4.7,5.0,0.0
Pearson symbol,15,0.333333,0.0,9,"{""tI20"": 2, ""tI2"": 1, ""cF8"": 1, ""cF12"": 1, ""cF16"": 1}",3.8,4.0,0.0
a (pm),15,0.066667,0.933333,14,"{""392.5"": 1, ""496.1"": 1, ""550.5"": 1, ""547.6"": 1, ""692.0"": 1}",5.071,5.0,0.0
b (pm),15,0.2,0.8,12,"{""392.5"": 1, ""547.6"": 1, ""402.0"": 1, ""664.8"": 1, ""837.7"": 1}",5.167,5.0,0.0
c (pm),15,0.2,0.8,12,"{""323.8"": 1, ""547.6"": 1, ""418.0"": 1, ""664.8"": 1, ""748.1"": 1}",5.25,5.0,0.0
Z,15,0.4,0.6,3,"{""4.0"": 6, ""2.0"": 2, ""8.0"": 1}",3.0,3.0,0.0
"density, g/cm3",15,0.466667,0.533333,8,"{""15.37"": 1, ""13.44"": 1, ""10.47"": 1, ""10.96"": 1, ""10.58"": 1}",4.625,5.0,0.0
