column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Rnd,11,0.0,1.0,11,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1.182,1.0,0.0
Date,11,0.0,0.0,11,"{""January 24"": 1, ""March 22"": 1, ""May 24"": 1, ""June 6"": 1, ""June 28"": 1}",8.273,8.0,0.0
Location,11,0.0,0.0,10,"{""Texas Motor Speedway, Texas"": 2, ""Walt Disney World Speedway, Florida"": 1, ""Phoenix International Raceway, Arizona"": 1, ""Indianapolis Motor Speedway, Indiana"": 1, ""New Hampshire International Speedway, New Hampshire"": 1}",35.818,36.0,0.0
Laps,11,0.0,1.0,3,"{""200"": 6, ""208"": 4, ""248"": 1}",3.0,3.0,0.0
Distance,11,0.0,0.0,5,"{""312 mi (502 km)"": 5, ""200 mi (320 km)"": 3, ""500 mi (800 km)"": 1, ""211.6 mi (340.5 km)"": 1, ""248 mi (399 km)"": 1}",15.364,15.0,0.0
Time,11,0.0,0.0,11,"{""2'06:04.000"": 1, ""2'02:18.735"": 1, ""3'26:40.524"": 1, ""2'08:45.543"": 1, ""1'51:30.262"": 1}",11.0,11.0,0.0
"Speed
(km/h)",11,0.0,1.0,11,"{""153.186"": 1, ""157.888"": 1, ""233.598"": 1, ""233.973"": 1, ""183.237"": 1}",6.818,7.0,0.0
Winner,11,0.0,0.0,7,"{""Kenny Bräck"": 3, ""Tony Stewart"": 2, ""Scott Sharp"": 2, ""Eddie Cheever"": 1, ""Billy Boat"": 1}",11.727,11.0,0.0
Pole Position,11,0.0,0.0,3,"{""Billy Boat"": 6, ""Tony Stewart"": 4, ""Jeff Ward"": 1}",10.636,10.0,0.0
Most Leading Laps,11,0.0,0.0,8,"{""Tony Stewart"": 4, ""Eddie Cheever"": 1, ""Billy Boat"": 1, ""Scott Sharp"": 1, ""Kenny Bräck"": 1}",11.727,12.0,0.0
Fastest Race Lap,11,0.0,0.0,7,"{""Tony Stewart"": 3, ""Kenny Bräck"": 2, ""Jeff Ward"": 2, ""Davey Hamilton"": 1, ""Greg Ray"": 1}",11.0,11.0,0.0
