column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Ethnicity,10,0.0,0.0,10,"{""All"": 1, ""Romanian"": 1, ""Bulgarian"": 1, ""Turkish"": 1, ""Tatar"": 1}",10.3,7.5,0.0
1880,10,0.0,0.0,10,"{""139,671"": 1, ""43,671 (31%)"": 1, ""24,915 (17%)"": 1, ""18,624 (13%)"": 1, ""29,476 (21%)"": 1}",10.9,12.0,0.0
1899,10,0.0,0.0,10,"{""258,242"": 1, ""118,919 (46%)"": 1, ""38,439 (14%)"": 1, ""12,146 (4%)"": 1, ""28,670 (11%)"": 1}",11.0,11.0,0.0
1913,10,0.0,0.0,9,"{""35,859 (9.4%)"": 2, ""380,430"": 1, ""216,425 (56.8%)"": 1, ""51,149 (13.4%)"": 1, ""20,092 (5.3%)"": 1}",12.2,13.0,0.0
19301,10,0.0,0.0,10,"{""437,131"": 1, ""282,844 (64.7%)"": 1, ""42,070 (9.6%)"": 1, ""21,748 (5%)"": 1, ""15,546 (3.6%)"": 1}",12.0,12.5,0.0
1956,10,0.0,0.0,10,"{""593,659"": 1, ""514,331 (86.6%)"": 1, ""749 (0.13%)"": 1, ""11,994 (2%)"": 1, ""20,239 (3.4%)"": 1}",11.7,11.5,0.0
1966,10,0.0,0.0,10,"{""702,461"": 1, ""622,996 (88.7%)"": 1, ""524 (0.07%)"": 1, ""16,209 (2.3%)"": 1, ""21,939 (3.1%)"": 1}",11.9,12.0,0.0
1977,10,0.0,0.0,10,"{""863,348"": 1, ""784,934 (90.9%)"": 1, ""415 (0.05%)"": 1, ""21,666 (2.5%)"": 1, ""22,875 (2.65%)"": 1}",11.9,12.0,0.0
1992,10,0.0,0.0,10,"{""1,019,766"": 1, ""926,608 (90.8%)"": 1, ""311 (0.03%)"": 1, ""27,685 (2.7%)"": 1, ""24,185 (2.4%)"": 1}",12.3,13.0,0.0
2002,10,0.0,0.0,10,"{""971,643"": 1, ""883,620 (90.9%)"": 1, ""135 (0.01%)"": 1, ""27,580 (2.8%)"": 1, ""23,409 (2.4%)"": 1}",12.1,13.0,0.0
