column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
number,12,0.0,1.0,12,"{""21"": 1, ""22"": 1, ""23"": 1, ""24"": 1, ""25"": 1}",2.0,2.0,0.0
symbol,12,0.0,0.0,12,"{""Sc"": 1, ""Ti"": 1, ""V"": 1, ""Cr"": 1, ""Mn"": 1}",1.917,2.0,0.0
name,12,0.0,0.0,12,"{""scandium"": 1, ""titanium"": 1, ""vanadium"": 1, ""chromium"": 1, ""manganese"": 1}",7.0,7.5,0.0
21st,12,0.0,1.0,12,"{""582163"": 1, ""602930"": 1, ""151440"": 1, ""157700"": 1, ""158600"": 1}",5.833,6.0,0.0
22nd,12,0.166667,0.833333,10,"{""639294.0"": 1, ""661050.0"": 1, ""166090.0"": 1, ""172500.0"": 1, ""173600.0"": 1}",7.8,8.0,0.0
23rd,12,0.25,0.75,9,"{""699144.0"": 1, ""721870.0"": 1, ""181380.0"": 1, ""188100.0"": 1, ""189300.0"": 1}",7.778,8.0,0.0
24th,12,0.333333,0.666667,8,"{""761733.0"": 1, ""785450.0"": 1, ""195200.0"": 1, ""204500.0"": 1, ""205600.0"": 1}",8.0,8.0,0.0
25th,12,0.416667,0.583333,7,"{""827067.0"": 1, ""851800.0"": 1, ""214100.0"": 1, ""221400.0"": 1, ""222700.0"": 1}",8.0,8.0,0.0
26th,12,0.5,0.5,6,"{""895161.0"": 1, ""920870.0"": 1, ""231490.0"": 1, ""239100.0"": 1, ""116290.0"": 1}",8.0,8.0,0.0
27th,12,0.583333,0.416667,5,"{""966023.0"": 1, ""992718.0"": 1, ""249660.0"": 1, ""282500.0"": 1, ""133800.0"": 1}",8.0,8.0,0.0
28th,12,0.666667,0.333333,4,"{""1039668.0"": 1, ""1067358.0"": 1, ""296200.0"": 1, ""139800.0"": 1}",8.5,8.5,0.0
29th,12,0.75,0.25,3,"{""1116105.0"": 1, ""311400.0"": 1, ""148100.0"": 1}",8.333,8.0,0.0
30th,12,0.833333,0.166667,2,"{""326200.0"": 1, ""154500.0"": 1}",8.0,8.0,0.0
