column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Res.,8,0.0,0.0,2,"{""Win"": 7, ""Loss"": 1}",3.125,3.0,0.0
Record,8,0.0,0.0,8,"{""7-1"": 1, ""7–0"": 1, ""6–0"": 1, ""5–0"": 1, ""4–0"": 1}",3.0,3.0,0.0
Opponent,8,0.0,0.0,8,"{""Cristiane Justino"": 1, ""Kelly Kobold"": 1, ""Kaitlin Young"": 1, ""Tonya Evinger"": 1, ""Julie Kedzie"": 1}",13.5,13.0,0.0
Method,8,0.0,0.0,6,"{""Decision (unanimous)"": 3, ""TKO (punches)"": 1, ""TKO (doctor stoppage)"": 1, ""Submission (rear naked choke)"": 1, ""KO (punch)"": 1}",19.5,20.0,0.0
Event,8,0.0,0.0,8,"{""Strikeforce: Carano vs. Cyborg"": 1, ""EliteXC: Heat"": 1, ""EliteXC: Primetime"": 1, ""EliteXC: Uprising"": 1, ""EliteXC: Destiny"": 1}",22.0,20.0,0.0
Date,8,0.0,0.0,8,"{""August 15, 2009"": 1, ""October 4, 2008"": 1, ""May 31, 2008"": 1, ""September 15, 2007"": 1, ""February 10, 2007"": 1}",15.5,15.5,0.0
Round,8,0.0,1.0,3,"{""1"": 3, ""3"": 3, ""2"": 2}",1.0,1.0,0.0
Time,8,0.0,0.0,6,"{""3:00"": 3, ""4:59"": 1, ""2:53"": 1, ""2:00"": 1, ""4:55"": 1}",4.0,4.0,0.0
Location,8,0.0,0.0,6,"{""San Jose, California, United States"": 2, ""Las Vegas, Nevada, United States"": 2, ""Sunrise, Florida, United States"": 1, ""Newark, New Jersey, United States"": 1, ""Oahu, Hawaii, United States"": 1}",32.75,32.5,0.0
Notes,8,0.125,0.0,7,"{""For the Women's Featherweight Championship"": 1, ""144 lb Catchweight"": 1, ""141 lb"": 1, ""EliteXC Debut, 141 lb"": 1, ""Strikeforce Debut, 150 lb bout"": 1}",21.714,18.0,0.0
