column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Season,8,0.0,1.0,8,"{""2005"": 1, ""2006"": 1, ""2007"": 1, ""2008"": 1, ""2009"": 1}",4.0,4.0,0.0
Date,8,0.0,0.0,6,"{""July 22"": 2, ""July 26"": 2, ""July 17"": 1, ""July 23"": 1, ""July 25"": 1}",7.0,7.0,0.0
Driver,8,0.0,0.0,5,"{""Sébastien Bourdais"": 2, ""Scott Dixon"": 2, ""Will Power"": 2, ""Justin Wilson"": 1, ""Hélio Castroneves"": 1}",13.5,12.0,0.0
Team,8,0.0,0.0,5,"{""Penske Racing"": 3, ""Chip Ganassi Racing"": 2, ""Newman/Haas Racing"": 1, ""RuSPORT"": 1, ""Newman/Haas/Lanigan Racing"": 1}",16.0,15.5,0.0
Chassis,8,0.0,0.0,3,"{""Dallara"": 5, ""Lola"": 2, ""Panoz"": 1}",6.0,7.0,0.0
Engine,8,0.0,0.0,4,"{""Honda"": 4, ""Ford-Cosworth"": 2, ""Cosworth"": 1, ""Chevrolet"": 1}",7.875,6.5,0.0
"Race Distance
Laps",8,0.0,0.875,7,"{""95"": 2, ""88"": 1, ""85"": 1, ""96"": 1, ""91*"": 1}",2.125,2.0,0.0
"Race Distance
Miles (km)",8,0.0,0.0,7,"{""187.435 (301.647)"": 2, ""173.624 (279.42)"": 1, ""167.705 (269.895)"": 1, ""189.408 (304.822)"": 1, ""179.543 (288.946)"": 1}",16.5,17.0,0.0
Race Time,8,0.0,0.0,8,"{""1:38:55"": 1, ""1:40:30"": 1, ""1:45:41"": 1, ""1:51:06"": 1, ""1:42:42"": 1}",7.0,7.0,0.0
"Average Speed
(mph)",8,0.0,1.0,8,"{""105.302"": 1, ""100.112"": 1, ""107.517"": 1, ""96.967"": 1, ""109.498"": 1}",6.75,7.0,0.0
Report,8,0.0,0.0,1,"{""Report"": 8}",6.0,6.0,0.0
