column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
No.,15,0.2,0.8,12,"{""4.0"": 1, ""5.0"": 1, ""6.0"": 1, ""7.0"": 1, ""8.0"": 1}",3.5,3.5,0.0
Name,15,0.066667,0.0,14,"{""Sarah Vinci"": 1, ""Cobi Crispin"": 1, ""Bridie Kean"": 1, ""Amanda Carter"": 1, ""Tina McKenzie"": 1}",11.571,11.5,0.0
Class,15,0.2,0.8,6,"{""1.0"": 3, ""3.0"": 3, ""4.0"": 2, ""3.5"": 2, ""2.0"": 1}",3.0,3.0,0.0
Games,15,0.2,0.8,3,"{""7.0"": 9, ""3.0"": 2, ""2.0"": 1}",3.0,3.0,0.0
Minutes,15,0.2,0.8,12,"{""125.0"": 1, ""180.0"": 1, ""109.0"": 1, ""38.0"": 1, ""18.0"": 1}",4.667,5.0,0.0
Points,15,0.2,0.8,11,"{""25"": 2, ""8"": 1, ""72"": 1, ""16"": 1, ""7"": 1}",1.833,2.0,0.066667
2 Points,15,0.066667,0.0,14,"{""Made/Attempts"": 1, ""4/9"": 1, ""33/77"": 1, ""7/26"": 1, ""3/5"": 1}",5.071,5.0,0.0
2 Points.1,15,0.133333,0.866667,11,"{""44"": 2, ""27"": 2, ""43"": 1, ""60"": 1, ""0"": 1}",1.923,2.0,0.066667
3 Points,15,0.533333,0.0,4,"{""0/1"": 4, ""Made/Attempts"": 1, ""2/6"": 1, ""2/10"": 1}",4.571,3.0,0.466667
3 Points.1,15,0.6,0.4,3,"{""0"": 4, ""33"": 1, ""20"": 1}",1.333,1.0,0.533333
Free throws,15,0.266667,0.0,10,"{""1/1"": 2, ""Made/Attempts"": 1, ""6/14"": 1, ""2/8"": 1, ""1/7"": 1}",4.273,3.0,0.2
Free throws.1,15,0.333333,0.666667,7,"{""25"": 2, ""100"": 2, ""0"": 2, ""43"": 1, ""14"": 1}",2.0,2.0,0.266667
Rebounds,15,0.066667,0.866667,10,"{""4"": 3, ""2"": 2, ""5"": 2, ""Offensive"": 1, ""13"": 1}",1.786,1.0,0.066667
Rebounds.1,15,0.066667,0.866667,12,"{""7"": 2, ""12"": 2, ""Defensive"": 1, ""6"": 1, ""34"": 1}",2.286,2.0,0.066667
Rebounds.2,15,0.0,0.933333,12,"{""8"": 2, ""4"": 2, ""20"": 2, ""Total"": 1, ""47"": 1}",1.933,2.0,0.0
Assists,15,0.2,0.8,8,"{""6"": 3, ""2"": 2, ""28"": 2, ""1"": 1, ""11"": 1}",1.5,1.0,0.066667
Turnovers,15,0.133333,0.866667,10,"{""2.0"": 2, ""4.0"": 2, ""1.0"": 2, ""13.0"": 1, ""3.0"": 1}",3.308,3.0,0.0
Steals,15,0.266667,0.733333,6,"{""2"": 3, ""4"": 3, ""5"": 2, ""6"": 1, ""1"": 1}",1.091,1.0,0.133333
Blocked Shots,15,0.666667,0.333333,4,"{""1"": 2, ""3"": 1, ""2"": 1, ""7"": 1}",1.0,1.0,0.533333
Personal Fouls,15,0.133333,0.866667,11,"{""4.0"": 2, ""2.0"": 2, ""18.0"": 1, ""8.0"": 1, ""1.0"": 1}",3.385,3.0,0.0
Fouls Drawn,15,0.2,0.8,9,"{""1"": 3, ""4"": 2, ""17"": 1, ""8"": 1, ""12"": 1}",1.417,1.0,0.066667
