column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
#,10,0.0,1.0,6,"{""1.0"": 3, ""7.0"": 3, ""4.0"": 1, ""5.0"": 1, ""6.0"": 1}",3.1,3.0,0.0
Player,10,0.0,0.0,5,"{""Diego Domínguez"": 6, ""Stefano Bettarello"": 1, ""Luigi Troiani"": 1, ""Mirco Bergamasco"": 1, ""3 players on 23 points"": 1}",15.9,15.0,0.0
Pos,10,0.0,0.0,3,"{""Fly-half"": 8, ""Wing"": 1, ""3 players on 23 points"": 1}",9.0,8.0,0.0
Pts,10,0.0,0.9,6,"{""29"": 3, ""24"": 3, ""28"": 1, ""27"": 1, ""25"": 1}",4.0,2.0,0.0
Tries,10,0.0,0.9,3,"{""0"": 6, ""1"": 3, ""3 players on 23 points"": 1}",3.1,1.0,0.0
Conv,10,0.0,0.9,8,"{""2"": 2, ""0"": 2, ""1"": 1, ""4"": 1, ""7"": 1}",3.2,1.0,0.0
Pens,10,0.0,0.9,7,"{""5"": 2, ""6"": 2, ""8"": 2, ""7"": 1, ""3"": 1}",3.1,1.0,0.0
Drop,10,0.0,0.9,4,"{""0"": 7, ""2"": 1, ""3"": 1, ""3 players on 23 points"": 1}",3.1,1.0,0.0
Opposition,10,0.0,0.0,8,"{""Fiji"": 2, ""Romania"": 2, ""Canada"": 1, ""Scotland"": 1, ""Netherlands"": 1}",9.0,7.0,0.0
Venue,10,0.0,0.0,10,"{""Toronto"": 1, ""Rome"": 1, ""Treviso"": 1, ""Calvisano"": 1, ""Bologna"": 1}",8.2,7.0,0.0
Date,10,0.0,0.0,10,"{""1 July 1982"": 1, ""5 February 2000"": 1, ""10 November 2001"": 1, ""21 May 1994"": 1, ""20 December 1997"": 1}",14.7,15.0,0.0
