column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Saros,46,0.0,1.0,1,"{""160"": 46}",3.0,3.0,0.0
Member,46,0.0,1.0,46,"{""1"": 1, ""35"": 1, ""26"": 1, ""27"": 1, ""28"": 1}",1.804,2.0,0.0
Date,46,0.0,0.0,46,"{""May 13, 2181"": 1, ""May 21, 2794"": 1, ""February 12, 2632"": 1, ""February 22, 2650"": 1, ""March 5, 2668"": 1}",14.543,14.0,0.0
"Time
(Greatest)
UTC",46,0.0,0.0,46,"{""14:55:43"": 1, ""11:05:18"": 1, ""10:25:37"": 1, ""18:53:59"": 1, ""3:17:08"": 1}",7.587,8.0,0.0
Type,46,0.0,0.0,4,"{""Annular"": 20, ""Total"": 16, ""Partial"": 7, ""Hybrid"": 3}",6.239,7.0,0.0
"Location
Lat,Long",46,0.0,0.0,46,"{""69.4S 16.9W"": 1, ""20.7N 25.6E"": 1, ""30.9S 40.1E"": 1, ""26.2S 86.4W"": 1, ""21S 147.7E"": 1}",11.174,11.0,0.0
Gamma,46,0.0,1.0,46,"{""-1.5323"": 1, ""0.007"": 1, ""-0.2969"": 1, ""-0.2856"": 1, ""-0.2697"": 1}",6.652,7.0,0.0
Mag.,46,0.0,1.0,45,"{""1.066"": 2, ""0.051"": 1, ""1.0386"": 1, ""0.9938"": 1, ""0.9984"": 1}",5.848,6.0,0.0
"Width
(km)",46,0.152174,0.847826,37,"{""130.0"": 2, ""72.0"": 2, ""501.0"": 1, ""195.0"": 1, ""52.0"": 1}",4.564,5.0,0.0
"Duration
(min:sec)",46,0.152174,0.0,38,"{""4m 16s"": 2, ""3m 37s"": 1, ""4m 36s"": 1, ""0m 54s"": 1, ""1m 29s"": 1}",5.846,6.0,0.0
Ref,46,0.0,0.0,46,"{""[1]"": 1, ""[35]"": 1, ""[26]"": 1, ""[27]"": 1, ""[28]"": 1}",3.804,4.0,0.0
