column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Rank,100,0.0,1.0,100,"{""1"": 1, ""64"": 1, ""74"": 1, ""73"": 1, ""72"": 1}",1.92,2.0,0.0
Census subdivision,100,0.0,0.0,99,"{""North Vancouver"": 2, ""Toronto"": 1, ""Lethbridge"": 1, ""Sault Ste. Marie"": 1, ""Maple Ridge"": 1}",9.64,9.0,0.0
Province,100,0.0,0.0,9,"{""Ontario"": 42, ""Quebec"": 20, ""British Columbia"": 20, ""Alberta"": 9, ""New Brunswick"": 3}",9.15,7.0,0.0
Type,100,0.0,0.0,7,"{""city"": 60, ""ville"": 20, ""town"": 9, ""district municipality"": 5, ""regional municipality"": 2}",5.95,4.0,0.0
"Land area
(km2, 2011)",100,0.0,0.89,100,"{""630.21"": 1, ""122.36"": 1, ""3,083.06"": 1, ""223.26"": 1, ""266.78"": 1}",6.0,6.0,0.0
Population 2011,100,0.0,0.0,100,"{""2,615,060"": 1, ""83,517"": 1, ""73,214"": 1, ""75,141"": 1, ""76,052"": 1}",6.56,6.5,0.0
Population 2006,100,0.0,0.0,100,"{""2,503,281"": 1, ""74,637"": 1, ""74,561"": 1, ""74,948"": 1, ""68,949"": 1}",6.52,6.0,0.0
Population 2001,100,0.0,0.0,100,"{""2,481,494"": 1, ""67,374"": 1, ""69,179"": 1, ""74,566"": 1, ""63,169"": 1}",6.49,6.0,0.0
Population 1996,100,0.0,0.0,100,"{""2,385,421"": 1, ""63,053"": 1, ""67,926"": 1, ""80,054"": 1, ""56,173"": 1}",6.48,6.0,0.0
Change in % 2006–2011,100,0.0,0.92,78,"{""6.7"": 4, ""1.4"": 3, ""1.0"": 3, ""5.3"": 3, ""1.3"": 3}",3.33,3.0,0.0
Change in % 1996–2011,100,0.0,0.9,93,"{""6.6"": 2, ""31.1"": 2, ""26.7"": 2, ""11.1"": 2, ""15.0"": 2}",3.82,4.0,0.0
