column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Year,24,0.0,1.0,24,"{""1986"": 1, ""1987"": 1, ""2008"": 1, ""2007"": 1, ""2006"": 1}",4.0,4.0,0.0
Starts,24,0.0,1.0,12,"{""1"": 6, ""2"": 4, ""31"": 4, ""29"": 2, ""28"": 1}",1.458,1.0,0.0
Wins,24,0.0,1.0,4,"{""0"": 18, ""1"": 3, ""2"": 2, ""4"": 1}",1.0,1.0,0.0
Top 5,24,0.0,1.0,7,"{""0"": 15, ""1"": 2, ""2"": 2, ""11"": 2, ""7"": 1}",1.083,1.0,0.0
Top 10,24,0.0,1.0,8,"{""0"": 15, ""4"": 2, ""7"": 2, ""5"": 1, ""15"": 1}",1.125,1.0,0.0
Poles,24,0.0,1.0,2,"{""0"": 20, ""1"": 4}",1.0,1.0,0.0
Avg. Start,24,0.0,1.0,19,"{""43.0"": 5, ""21.0"": 2, ""25.9"": 1, ""40.3"": 1, ""37.3"": 1}",4.0,4.0,0.0
Avg. Finish,24,0.0,1.0,23,"{""43.0"": 2, ""23.0"": 1, ""25.0"": 1, ""30.5"": 1, ""32.2"": 1}",4.0,4.0,0.0
Winnings,24,0.0,0.0,24,"{""$535"": 1, ""$975"": 1, ""$42,651"": 1, ""$45,800"": 1, ""$72,136"": 1}",7.0,7.0,0.0
Position,24,0.0,0.0,23,"{""12th"": 2, ""110th"": 1, ""52nd"": 1, ""148th"": 1, ""133rd"": 1}",4.208,4.0,0.0
Team(s),24,0.0,0.0,15,"{""#31 Grissom Racing Enterprises"": 6, ""#39 Grissom Racing Enterprises"": 2, ""#29 Diamond Ridge Motorsports"": 2, ""#34 Frank Cicci Racing"": 2, ""#49 Jay Robinson Racing"": 2}",32.667,29.5,0.0
