column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Season,11,0.0,0.909091,6,"{""2013"": 4, ""2011"": 2, ""2012"": 2, ""2009"": 1, ""2010"": 1}",4.273,4.0,0.0
Series,11,0.0,0.0,7,"{""GP3 Series"": 3, ""Star Mazda Championship"": 2, ""Indy Lights"": 2, ""Masters of Formula 3"": 1, ""MRF Challenge Formula 2000"": 1}",15.273,11.0,0.0
Team,11,0.0,0.0,11,"{""Andersen Racing"": 1, ""Juncos Racing"": 1, ""Sam Schmidt Motorsports"": 1, ""Carlin Motorsport"": 1, ""Lotus GP"": 1}",15.727,15.0,0.0
Races,11,0.0,1.0,6,"{""16"": 3, ""1"": 3, ""13"": 2, ""5"": 1, ""10"": 1}",1.545,2.0,0.0
Wins,11,0.0,1.0,4,"{""0"": 5, ""1"": 4, ""7"": 1, ""4"": 1}",1.0,1.0,0.0
Poles,11,0.0,1.0,3,"{""0"": 7, ""1"": 3, ""9"": 1}",1.0,1.0,0.0
F/Lap,11,0.0,1.0,5,"{""0"": 6, ""1"": 2, ""3"": 1, ""7"": 1, ""2"": 1}",1.0,1.0,0.0
Podiums,11,0.0,1.0,6,"{""0"": 4, ""6"": 3, ""12"": 1, ""2"": 1, ""5"": 1}",1.091,1.0,0.0
Points,11,0.090909,0.909091,10,"{""416.0"": 1, ""539.0"": 1, ""145.0"": 1, ""10.0"": 1, ""106.0"": 1}",4.5,5.0,0.0
Position,11,0.0,0.0,8,"{""3rd"": 2, ""1st"": 2, ""13th"": 2, ""17th"": 1, ""6th"": 1}",3.545,4.0,0.0
