column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Player,17,0.0,0.0,17,"{""Anthony McGrath"": 1, ""Simon Guy"": 1, ""Azeem Rafiq"": 1, ""Matthew Hoggard"": 1, ""David Wainwright"": 1}",12.471,12.0,0.0
Matches,17,0.0,1.0,7,"{""9"": 8, ""2"": 3, ""1"": 2, ""7"": 1, ""4"": 1}",1.059,1.0,0.0
Innings,17,0.0,1.0,10,"{""9"": 3, ""2"": 3, ""8"": 2, ""1"": 2, ""0"": 2}",1.059,1.0,0.0
Not Out,17,0.0,1.0,5,"{""0"": 6, ""2"": 4, ""1"": 4, ""3"": 2, ""18"": 1}",1.059,1.0,0.0
Runs,17,0.0,1.0,14,"{""0"": 3, ""26"": 2, ""392"": 1, ""191"": 1, ""177"": 1}",2.176,2.0,0.0
High Score,17,0.0,0.647059,14,"{""0"": 3, ""72*"": 2, ""56"": 1, ""20*"": 1, ""57*"": 1}",2.0,2.0,0.0
Average,17,0.176471,0.823529,14,"{""56.0"": 1, ""27.29"": 1, ""26.0"": 1, ""22.13"": 1, ""15.14"": 1}",4.143,4.0,0.0
Strike Rate,17,0.117647,0.882353,15,"{""132.43"": 1, ""129.05"": 1, ""136.84"": 1, ""113.46"": 1, ""86.18"": 1}",5.333,5.0,0.0
100s,17,0.0,1.0,1,"{""0"": 17}",1.0,1.0,0.0
50s,17,0.0,1.0,4,"{""0"": 13, ""1"": 2, ""4"": 1, ""6"": 1}",1.0,1.0,0.0
