column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Name,61,0.0,0.0,61,"{""Project A-kon"": 1, ""Anime Detour"": 1, ""Anime Friends"": 1, ""Metrocon"": 1, ""Anime Vegas"": 1}",10.361,9.0,0.0
"First
held",61,0.0,1.0,19,"{""2005"": 10, ""2000"": 6, ""2004"": 6, ""2003"": 5, ""2001"": 4}",4.0,4.0,0.0
Country,61,0.0,0.0,7,"{""USA"": 55, ""Canada"": 1, ""Denmark"": 1, ""Australia"": 1, ""Brazil"": 1}",3.492,3.0,0.0
Earliest attendance figure known,61,0.081967,0.0,56,"{""380 (1990)"": 1, ""2000 (1991)"": 1, ""250(2002)"": 1, ""25000(2004)"": 1, ""1019(2004)"": 1}",9.589,10.0,0.0
1998 attendance,61,0.754098,0.245902,13,"{""2500.0"": 2, ""1400.0"": 2, ""1931.0"": 1, ""650.0"": 1, ""4883.0"": 1}",5.533,6.0,0.0
2000 attendance,61,0.672131,0.327869,19,"{""2300.0"": 2, ""4500.0"": 1, ""1640.0"": 1, ""522.0"": 1, ""200.0"": 1}",5.65,6.0,0.0
2002 Attendance,61,0.688525,0.311475,18,"{""3000.0"": 2, ""6420.0"": 1, ""400.0"": 1, ""250.0"": 1, ""115.0"": 1}",5.842,6.0,0.0
2004 attendance,61,0.508197,0.491803,28,"{""25000.0"": 2, ""300.0"": 2, ""9449.0"": 1, ""2368.0"": 1, ""250.0"": 1}",5.9,6.0,0.0
2006 attendance,61,0.344262,0.655738,37,"{""450.0"": 2, ""1400.0"": 2, ""2500.0"": 2, ""12459.0"": 1, ""1148.0"": 1}",5.975,6.0,0.0
2008 attendance,61,0.393443,0.606557,37,"{""15324.0"": 1, ""3000.0"": 1, ""120000.0"": 1, ""6665.0"": 1, ""3100.0"": 1}",6.189,6.0,0.0
2010 attendance,61,0.442623,0.557377,34,"{""17596.0"": 1, ""1300.0"": 1, ""2000.0"": 1, ""1105.0"": 1, ""4877.0"": 1}",6.147,6.0,0.0
2012 Attendance,61,0.540984,0.442623,27,"{""5000"": 2, ""21982"": 1, ""1320"": 1, ""10422"": 1, ""1600"": 1}",4.357,4.0,0.0
