column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Season,26,0.0,0.961538,13,"{""2003"": 4, ""2004"": 4, ""2008"": 4, ""2007"": 3, ""2005"": 2}",4.115,4.0,0.0
Series,26,0.0,0.0,15,"{""Formula One"": 5, ""GP2 Series"": 4, ""Euroseries 3000"": 3, ""Formula Renault 2.0 Italy"": 2, ""World Series by Renault"": 2}",18.808,16.5,0.0
Team,26,0.0,0.0,16,"{""Cram Competition"": 7, ""G-Tec"": 2, ""Scuderia Latorre"": 2, ""ART Grand Prix"": 2, ""Williams F1 Team"": 2}",13.5,15.0,0.0
Races,26,0.076923,0.884615,12,"{""2"": 7, ""20"": 4, ""8"": 2, ""17"": 2, ""19"": 2}",1.875,1.5,0.076923
Wins,26,0.076923,0.884615,7,"{""0"": 10, ""1"": 8, ""2"": 2, ""8"": 1, ""Test driver"": 1}",1.417,1.0,0.076923
Poles,26,0.076923,0.884615,6,"{""0"": 14, ""1"": 6, ""6"": 1, ""Test driver"": 1, ""5"": 1}",1.417,1.0,0.076923
F/Laps,26,0.076923,0.884615,7,"{""0"": 13, ""1"": 6, ""11"": 1, ""Test driver"": 1, ""6"": 1}",1.458,1.0,0.076923
Podiums,26,0.076923,0.884615,9,"{""1"": 8, ""0"": 7, ""3"": 2, ""2"": 2, ""12"": 1}",1.458,1.0,0.076923
Points,26,0.038462,0.884615,22,"{""12"": 3, ""1"": 2, ""118"": 1, ""8"": 1, ""45"": 1}",2.24,2.0,0.038462
Position,26,0.0,0.0,20,"{""1st"": 3, ""10th"": 2, ""18th"": 2, ""8th"": 2, ""15th"": 2}",3.846,4.0,0.0
