column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Month,6,0.0,0.0,6,"{""Average high °F (°C)"": 1, ""Average low °F (°C)"": 1, ""Precipitation inches (mm)"": 1, ""Snowfall inches (cm)"": 1, ""Avg. precipitation days (≥ 0.01 in)"": 1}",24.167,22.5,0.0
Jan,6,0.0,0.333333,6,"{""42.4\n(5.8)"": 1, ""24.9\n(−3.9)"": 1, ""3.16\n(80.3)"": 1, ""2.1\n(5.3)"": 1, ""8.9"": 1}",7.833,9.5,0.0
Feb,6,0.0,0.333333,6,"{""45.8\n(7.7)"": 1, ""26.8\n(−2.9)"": 1, ""3.03\n(77)"": 1, ""6.2\n(15.7)"": 1, ""8.2"": 1}",7.667,9.5,0.0
Mar,6,0.0,0.333333,6,"{""54.7\n(12.6)"": 1, ""34.5\n(1.4)"": 1, ""4.10\n(104.1)"": 1, "".6\n(1.5)"": 1, ""9.6"": 1}",7.667,9.0,0.0
Apr,6,0.0,0.333333,6,"{""66.2\n(19)"": 1, ""44.1\n(6.7)"": 1, ""3.81\n(96.8)"": 1, ""0\n(0)"": 1, ""9.4"": 1}",6.5,7.0,0.0
May,6,0.0,0.333333,6,"{""75.2\n(24)"": 1, ""54.8\n(12.7)"": 1, ""4.56\n(115.8)"": 1, ""0\n(0)"": 1, ""10.5"": 1}",7.0,7.0,0.0
Jun,6,0.0,0.333333,6,"{""83.8\n(28.8)"": 1, ""63.8\n(17.7)"": 1, ""4.23\n(107.4)"": 1, ""0\n(0)"": 1, ""9.3"": 1}",7.167,8.0,0.0
Jul,6,0.0,0.333333,6,"{""88.3\n(31.3)"": 1, ""69.0\n(20.6)"": 1, ""4.05\n(102.9)"": 1, ""0\n(0)"": 1, ""9.1"": 1}",7.167,8.0,0.0
Aug,6,0.0,0.333333,6,"{""86.7\n(30.4)"": 1, ""67.5\n(19.7)"": 1, ""3.43\n(87.1)"": 1, ""0\n(0)"": 1, ""7.4"": 1}",7.0,8.0,0.0
Sep,6,0.0,0.333333,6,"{""79.3\n(26.3)"": 1, ""59.6\n(15.3)"": 1, ""4.60\n(116.8)"": 1, ""0\n(0)"": 1, ""8.3"": 1}",7.167,8.0,0.0
Oct,6,0.0,0.333333,6,"{""68.1\n(20.1)"": 1, ""48.2\n(9)"": 1, ""3.98\n(101.1)"": 1, ""0\n(0)"": 1, ""7.6"": 1}",6.667,6.5,0.0
Nov,6,0.0,0.333333,6,"{""57.5\n(14.2)"": 1, ""38.0\n(3.3)"": 1, ""4.21\n(106.9)"": 1, "".8\n(2)"": 1, ""8.2"": 1}",7.333,8.0,0.0
Dec,6,0.0,0.333333,6,"{""46.1\n(7.8)"": 1, ""29.4\n(−1.4)"": 1, ""3.77\n(95.8)"": 1, ""1.3\n(3.3)"": 1, ""8.7"": 1}",7.667,9.5,0.0
Year,6,0.0,0.333333,6,"{""66.2\n(19)"": 1, ""46.7\n(8.2)"": 1, ""46.93\n(1,192)"": 1, ""11.0\n(27.9)"": 1, ""105.2"": 1}",8.5,9.5,0.0
