column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Country,183,0.0,0.0,183,"{""Finland"": 1, ""Venezuela"": 1, ""United Arab Emirates"": 1, ""South Sudan"": 1, ""Nepal"": 1}",8.612,7.0,0.0
2014,183,0.016393,0.0,180,"{""(001)\n6.40"": 1, ""(114)\n34.78"": 1, ""(116)\n35.37"": 1, ""(117)\n35.45"": 1, ""(118)\n36.03"": 1}",10.939,11.0,0.0
2013,183,0.021858,0.0,179,"{""(001)\n6.38"": 1, ""(136)\n39.04"": 1, ""(117)\n34.44"": 1, ""(122)\n35.45"": 1, ""(114)\n33.49"": 1}",10.922,11.0,0.0
2012,183,0.021858,0.0,133,"{""(117)\n55.00"": 5, ""(086)\n30.00"": 4, ""(080)\n29.00"": 4, ""(025)\n0.00"": 3, ""(047)\n14.00"": 3}",10.989,11.0,0.0
2010,183,0.027322,0.0,143,"{""(001)\n0.00"": 6, ""(070)\n19.00"": 5, ""(011)\n2.50"": 3, ""(087)\n23.75"": 3, ""(104)\n28.50"": 3}",10.831,11.0,0.0
2009,183,0.043716,0.0,135,"{""(062)\n15.50"": 6, ""(001)\n0.00"": 5, ""(030)\n8.00"": 3, ""(020)\n4.00"": 3, ""(013)\n3.00"": 3}",10.811,11.0,0.0
2008,183,0.054645,0.0,125,"{""(007)\n3.00"": 6, ""(036)\n8.00"": 6, ""(074)\n15.50"": 5, ""(047)\n9.00"": 4, ""(016)\n4.00"": 4}",10.699,11.0,0.0
2007,183,0.076503,0.0,141,"{""(005)\n1.50"": 3, ""(008)\n2.00"": 3, ""(068)\n21.50"": 3, ""(107)\n33.50"": 3, ""(087)\n25.50"": 3}",10.834,11.0,0.0
2006,183,0.076503,0.0,112,"{""(045)\n11.50"": 5, ""(001)\n0.50"": 4, ""(019)\n5.00"": 4, ""(053)\n13.00"": 4, ""(062)\n14.50"": 4}",10.769,11.0,0.0
2005,183,0.081967,0.0,121,"{""(001)\n0.50"": 7, ""(090)\n23.00"": 5, ""(012)\n2.00"": 4, ""(102)\n26.00"": 4, ""(034)\n7.50"": 3}",10.732,11.0,0.0
2004,183,0.071038,0.0,124,"{""(001)\n0.50"": 8, ""(011)\n2.00"": 4, ""(042)\n10.00"": 4, ""(083)\n23.50"": 3, ""(077)\n20.13"": 3}",10.776,11.0,0.0
2003,183,0.076503,0.0,128,"{""(001)\n0.50"": 4, ""(012)\n2.50"": 4, ""(124)\n37.50"": 3, ""(017)\n2.83"": 3, ""(037)\n6.83"": 3}",10.68,11.0,0.0
2002,183,0.229508,0.0,109,"{""(001)\n0.50"": 4, ""(060)\n20.75"": 4, ""(072)\n24.50"": 3, ""(021)\n6.00"": 3, ""(089)\n29.00"": 3}",10.73,11.0,0.0
