column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
0,10,0.0,1.0,10,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}",1.1,1.0,0.0
pōlô,10,0.0,0.0,10,"{""əsad"": 1, ""darwā"": 1, ""tolō"": 1, ""əpat"": 1, ""limā"": 1}",4.5,4.0,0.0
Unnamed: 2,10,0.0,1.0,10,"{""11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""15"": 1}",2.0,2.0,0.0
Unnamed: 3,10,0.0,0.0,10,"{""samsad"": 1, ""samdarwā"": 1, ""samtolō"": 1, ""sampat"": 1, ""samlimā"": 1}",7.2,7.0,0.0
Unnamed: 4,10,0.0,1.0,10,"{""21"": 1, ""22"": 1, ""23"": 1, ""24"": 1, ""25"": 1}",2.0,2.0,0.0
Unnamed: 5,10,0.0,0.0,10,"{""darwamsad"": 1, ""darwamdarwā"": 1, ""darwamtolō"": 1, ""darwampat"": 1, ""darwamlimā"": 1}",9.8,10.0,0.0
Unnamed: 6,10,0.0,1.0,10,"{""31"": 1, ""32"": 1, ""33"": 1, ""34"": 1, ""35"": 1}",2.0,2.0,0.0
Unnamed: 7,10,0.0,0.0,10,"{""tolomsad"": 1, ""tolomdarwā"": 1, ""tolomtolō"": 1, ""tolompat"": 1, ""tolomlimā"": 1}",8.7,9.0,0.0
Unnamed: 8,10,0.0,1.0,10,"{""41"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1}",2.0,2.0,0.0
Unnamed: 9,10,0.0,0.0,10,"{""pamsad"": 1, ""pamdarwā"": 1, ""pamtolō"": 1, ""pampat"": 1, ""pamlimā"": 1}",7.1,7.0,0.0
Unnamed: 10,10,0.0,1.0,10,"{""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 1}",2.0,2.0,0.0
Unnamed: 11,10,0.0,0.0,10,"{""limamsad"": 1, ""limamdarwā"": 1, ""limamtolō"": 1, ""limampat"": 1, ""limamlimā"": 1}",8.7,9.0,0.0
Unnamed: 12,10,0.0,1.0,10,"{""61"": 1, ""62"": 1, ""63"": 1, ""64"": 1, ""65"": 1}",2.0,2.0,0.0
Unnamed: 13,10,0.0,0.0,10,"{""nəmsad"": 1, ""nəmdarwā"": 1, ""nəmtolō"": 1, ""nəmpat"": 1, ""nəmlimā"": 1}",7.1,7.0,0.0
Unnamed: 14,10,0.0,1.0,10,"{""71"": 1, ""72"": 1, ""73"": 1, ""74"": 1, ""75"": 1}",2.0,2.0,0.0
Unnamed: 15,10,0.0,0.0,10,"{""pitomsad"": 1, ""pitomdarwā"": 1, ""pitomtolō"": 1, ""pitompat"": 1, ""pitomlimā"": 1}",8.9,9.0,0.0
Unnamed: 16,10,0.0,1.0,10,"{""81"": 1, ""82"": 1, ""83"": 1, ""84"": 1, ""85"": 1}",2.0,2.0,0.0
Unnamed: 17,10,0.0,0.0,10,"{""walomsad"": 1, ""walomdarwā"": 1, ""walomtolō"": 1, ""walompat"": 1, ""walomlimā"": 1}",8.7,9.0,0.0
Unnamed: 18,10,0.0,1.0,10,"{""91"": 1, ""92"": 1, ""93"": 1, ""94"": 1, ""95"": 1}",2.1,2.0,0.0
Unnamed: 19,10,0.0,0.0,10,"{""yamsad"": 1, ""yamdarwā"": 1, ""yamtolō"": 1, ""yampat"": 1, ""yamlimā"": 1}",7.0,7.0,0.0
