column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Year,14,0.0,0.928571,14,"{""2001"": 1, ""2002"": 1, ""2003"": 1, ""2004"": 1, ""2005"": 1}",4.143,4.0,0.0
Team,14,0.071429,0.0,2,"{""CIN"": 7, ""SF"": 6}",2.538,3.0,0.0
Games,14,0.0,1.0,4,"{""16"": 11, ""15"": 1, ""14"": 1, ""205"": 1}",2.071,2.0,0.0
Combined Tackles,14,0.0,1.0,13,"{""70"": 2, ""53"": 1, ""59"": 1, ""60"": 1, ""65"": 1}",2.071,2.0,0.0
Tackles,14,0.0,1.0,9,"{""41"": 3, ""47"": 2, ""45"": 2, ""50"": 2, ""49"": 1}",2.071,2.0,0.0
Assisted Tackles,14,0.0,1.0,10,"{""12"": 2, ""19"": 2, ""29"": 2, ""13"": 2, ""20"": 1}",2.071,2.0,0.0
Sacks,14,0.0,1.0,10,"{""8.5"": 2, ""6.5"": 2, ""6.0"": 2, ""7.5"": 2, ""5.0"": 1}",3.071,3.0,0.0
Forced Fumbles,14,0.0,1.0,5,"{""1"": 6, ""0"": 3, ""2"": 3, ""3"": 1, ""15"": 1}",1.071,1.0,0.0
Fumble Recoveries,14,0.0,1.0,4,"{""0"": 7, ""2"": 3, ""1"": 3, ""9"": 1}",1.0,1.0,0.0
Fumble Return Yards,14,0.0,1.0,1,"{""0"": 14}",1.0,1.0,0.0
Interceptions,14,0.0,1.0,4,"{""0"": 11, ""2"": 1, ""1"": 1, ""3"": 1}",1.0,1.0,0.0
Interception Return Yards,14,0.0,1.0,2,"{""0"": 12, ""28"": 2}",1.143,1.0,0.0
Yards per Interception Return,14,0.0,1.0,3,"{""0"": 12, ""14"": 1, ""9"": 1}",1.071,1.0,0.0
Longest Interception Return,14,0.0,1.0,2,"{""0"": 12, ""21"": 2}",1.143,1.0,0.0
Interceptions Returned for Touchdown,14,0.0,1.0,1,"{""0"": 14}",1.0,1.0,0.0
Passes Defended,14,0.0,1.0,6,"{""2"": 5, ""3"": 4, ""1"": 2, ""5"": 1, ""0"": 1}",1.071,1.0,0.0
