column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Team,27,0.0,0.0,7,"{""DEN"": 12, ""ATL"": 7, ""NYG"": 4, ""DEN Total"": 1, ""NYG Total"": 1}",3.741,3.0,0.0
Year,27,0.0,0.851852,27,"{""1981"": 1, ""1994"": 1, ""ATL Total"": 1, ""2003"": 1, ""2002"": 1}",4.593,4.0,0.0
"Regular Season
Won",27,0.0,1.0,17,"{""11"": 4, ""9"": 3, ""5"": 3, ""10"": 2, ""7"": 2}",1.556,1.0,0.0
"Regular Season
Lost",27,0.0,1.0,15,"{""5"": 4, ""7"": 3, ""11"": 3, ""6"": 2, ""4"": 2}",1.407,1.0,0.0
"Regular Season
Ties",27,0.0,1.0,3,"{""0"": 22, ""1"": 4, ""2"": 1}",1.0,1.0,0.0
"Regular Season
Win %",27,0.0,1.0,19,"{""0.688"": 4, ""0.313"": 3, ""0.438"": 2, ""0.563"": 2, ""0.5"": 2}",4.778,5.0,0.0
"Regular Season
Finish",27,0.148148,0.0,14,"{""1st in AFC West"": 5, ""2nd in AFC West"": 4, ""5th in AFC West"": 2, ""2nd in NFC East"": 2, ""3rd in AFC West"": 1}",15.13,15.0,0.0
"Post Season
Won",27,0.518519,0.481481,6,"{""2"": 4, ""1"": 4, ""0"": 2, ""7"": 1, ""3"": 1}",1.077,1.0,0.518519
"Post Season
Lost",27,0.518519,0.481481,4,"{""1"": 10, ""6"": 1, ""2"": 1, ""9"": 1}",1.0,1.0,0.518519
"Post Season
Win %",27,0.518519,0.481481,6,"{"".667"": 4, "".500"": 4, "".000"": 2, "".538"": 1, "".600"": 1}",4.0,4.0,0.518519
"Post Season
Result",27,0.666667,0.0,9,"{""Lost to Seattle Seahawks in AFC Wild Card Game."": 1, ""Lost to Pittsburgh Steelers in AFC Divisional Game."": 1, ""Lost to New York Giants in Super Bowl XXI."": 1, ""Lost to Washington Redskins in Super Bowl XXII."": 1, ""Lost to San Francisco 49ers in Super Bowl XXIV."": 1}",47.444,47.0,0.518519
