column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
Camp,35,0.0,0.0,35,"{""Menik Farm Zone 0\n(Kathirkamar Village)"": 1, ""Kantale Base Hospital"": 1, ""Murusivil Roman Catholic Tamil Mixed School"": 1, ""Thirunagar Old Court House"": 1, ""Illupaikkulam"": 1}",28.886,28.0,0.0
"Div Sec
Division",35,0.114286,0.0,12,"{""Vavuniya"": 11, ""Thenmarachchi"": 5, ""Vengalachedikulam"": 4, ""Mannar Town"": 2, ""Nanaddan"": 2}",10.548,8.0,0.0
"Admin
District",35,0.0,0.0,8,"{""VAV"": 15, ""JAF"": 7, ""TRI"": 5, ""MAN"": 4, ""COL"": 1}",3.057,3.0,0.0
9 Feb,35,0.771429,0.028571,8,"{""581"": 1, ""1,624"": 1, ""1,306"": 1, ""2,829"": 1, ""2,779"": 1}",4.875,5.0,0.0
11 Feb,35,0.657143,0.028571,12,"{""581"": 1, ""1,624"": 1, ""1,306"": 1, ""1,066"": 1, ""2,829"": 1}",4.917,5.0,0.0
16 Feb,35,0.4,0.2,21,"{""1,353"": 1, ""1,916"": 1, ""357"": 1, ""445"": 1, ""52"": 1}",4.286,5.0,0.0
25 Feb,35,0.228571,0.371429,27,"{""2,768"": 1, ""438"": 1, ""86"": 1, ""28"": 1, ""678"": 1}",3.815,5.0,0.0
27 Feb,35,0.2,0.4,27,"{""52"": 2, ""2,791"": 1, ""464"": 1, ""171"": 1, ""75"": 1}",3.857,4.0,0.0
2 Mar,35,0.2,0.4,28,"{""2,791"": 1, ""584"": 1, ""171"": 1, ""106"": 1, ""512"": 1}",3.893,4.0,0.0
4 Mar,35,0.228571,0.4,27,"{""3,344"": 1, ""1,140"": 1, ""171"": 1, ""106"": 1, ""417"": 1}",3.889,3.0,0.0
6 Mar,35,0.171429,0.428571,29,"{""4,212"": 1, ""463"": 1, ""171"": 1, ""106"": 1, ""492"": 1}",3.931,3.0,0.0
11 Mar,35,0.142857,0.457143,30,"{""4,679"": 1, ""583"": 1, ""171"": 1, ""97"": 1, ""426"": 1}",3.8,3.0,0.0
13 Mar,35,0.142857,0.457143,30,"{""4,679"": 1, ""583"": 1, ""171"": 1, ""97"": 1, ""426"": 1}",3.8,3.0,0.0
24 Mar,35,0.057143,0.428571,32,"{""3,020"": 2, ""6,459"": 1, ""464"": 1, ""100"": 1, ""145"": 1}",4.0,5.0,0.0
30 Mar,35,0.057143,0.428571,33,"{""6,459"": 1, ""1,006"": 1, ""100"": 1, ""145"": 1, ""186"": 1}",4.03,5.0,0.0
31 Mar,35,0.028571,0.457143,34,"{""6,459"": 1, ""350"": 1, ""464"": 1, ""1,786"": 1, ""140"": 1}",4.0,5.0,0.0
