column,n_cells,missing_ratio,numeric_ratio,unique_count,top_values,avg_len_non_empty,median_len_non_empty,special_only_ratio
STAPLE:,33,0.0,0.0,33,"{""Component (per 100g portion)"": 1, ""Selenium (μg)"": 1, ""Monounsaturated fatty acids (g)"": 1, ""Saturated fatty acids (g)"": 1, ""Lutein+zeaxanthin (μg)"": 1}",15.636,14.0,0.0
Maize / Corn,33,0.0,0.969697,32,"{""0.49"": 2, ""10"": 1, ""1.25"": 1, ""0.67"": 1, ""1355"": 1}",3.364,4.0,0.0
Rice,33,0.0,0.969697,27,"{""0"": 4, ""1.09"": 2, ""0.18"": 2, ""115"": 2, ""0.22"": 1}",3.061,3.0,0.0
Wheat,33,0.0,0.969697,33,"{""Amount"": 1, ""70.7"": 1, ""0.2"": 1, ""0.26"": 1, ""220"": 1}",3.242,4.0,0.0
Potato,33,0.0,0.969697,30,"{""0.78"": 2, ""0.30"": 2, ""0.03"": 2, ""Amount"": 1, ""0.3"": 1}",3.152,4.0,0.0
Cassava,33,0.0,0.969697,30,"{""0.05"": 2, ""27"": 2, ""0.09"": 2, ""Amount"": 1, ""0.38"": 1}",3.182,3.0,0.0
Soybean (Green),33,0.0,0.969697,29,"{""0"": 5, ""Amount"": 1, ""0.13"": 1, ""1.28"": 1, ""0.79"": 1}",3.03,3.0,0.0
Sweet potato,33,0.0,0.969697,32,"{""0.26"": 2, ""77"": 1, ""0.00"": 1, ""0.02"": 1, ""0"": 1}",3.273,4.0,0.0
Sorghum,33,0.121212,0.848485,19,"{""0"": 11, ""Amount"": 1, ""287"": 1, ""0.99"": 1, ""0.46"": 1}",2.414,2.0,0.121212
Yam,33,0.0,0.969697,33,"{""Amount"": 1, ""0.7"": 1, ""0.01"": 1, ""0.04"": 1, ""0"": 1}",3.212,3.0,0.0
Plantain,33,0.030303,0.939394,29,"{""0.14"": 3, ""0.05"": 2, ""0.08"": 1, ""0.03"": 1, ""30"": 1}",3.188,3.0,0.030303
